Target_genes	TCF7L2|Average	SRX094470|293	SRX097074|CD34_Hematopoietic_stem_cells	SRX097075|CD34_Hematopoietic_stem_cells	SRX094469|HCT_116	SRX5486437|HCT_116	SRX5486438|HCT_116	SRX5486439|HCT_116	SRX748421|HCT_116	SRX748422|HCT_116	SRX748423|HCT_116	SRX748424|HCT_116	SRX748427|HCT_116	SRX748428|HCT_116	SRX748429|HCT_116	SRX748430|HCT_116	SRX100941|HeLa	SRX150704|HeLa	SRX094468|Hep_G2	SRX097091|K-562	SRX101163|K-562	SRX367192|LNCAP	SRX100943|MCF-7	SRX250094|MDA-MB-453	SRX250095|MDA-MB-453	SRX100942|PANC-1	SRX097098|U-937	STRING
SP5	1136.076923	2037	171	214	1983	1427	1735	1828	1187	526	649	798	1286	472	686	535	1331	2911	1397	0	0	1778	2839	578	1266	1904	0	0
ARPP19	1088.038462	1532	593	849	2693	696	551	775	499	173	185	182	306	0	0	0	2298	3157	0	554	549	1634	3191	1478	2925	3326	143	0
SLC4A2	1046.653846	2606	581	587	2541	808	912	1050	511	0	328	279	217	189	124	0	1270	3163	153	544	553	1781	1989	1223	2293	3331	180	0
CDK5	1046.653846	2606	581	587	2541	808	912	1050	511	0	328	279	217	189	124	0	1270	3163	153	544	553	1781	1989	1223	2293	3331	180	0
SSR2	1010.115385	1896	474	578	2575	926	989	1071	366	0	0	0	263	0	190	0	2147	3093	0	445	414	1110	3110	138	2732	3215	531	0
ZNF775	998.653846	2033	601	453	2382	1091	1288	1231	0	0	0	0	0	0	0	0	2519	2770	0	518	0	822	2888	1299	2413	3393	264	0
HNRNPUL1	984.692308	1575	401	539	2368	965	1314	1104	1068	372	362	680	739	437	580	484	1197	2980	137	147	509	1441	1893	213	1494	2603	0	0
CTIF	970.961538	1770	735	862	2506	1029	1080	1133	839	0	310	435	405	187	437	186	1482	3013	0	442	371	1095	1308	772	1882	2966	0	0
PSMA6	966.384615	1115	342	487	2411	649	754	937	793	206	191	399	369	0	367	283	1459	3239	389	112	101	962	2565	1560	2649	2519	268	0
MC1R	965.384615	1061	2205	2198	2097	1147	1661	1276	0	0	0	0	0	0	0	0	961	2860	413	348	225	2085	2102	156	510	2319	1476	0
PAAF1	960.192308	1536	372	408	2475	666	721	620	240	0	230	249	260	0	236	123	2058	2735	171	327	217	1208	2928	1509	2588	3088	0	0
COA4	960.192308	1536	372	408	2475	666	721	620	240	0	230	249	260	0	236	123	2058	2735	171	327	217	1208	2928	1509	2588	3088	0	0
CUEDC2	930.423077	1363	448	462	2574	2082	2239	2155	368	0	174	0	390	0	272	0	762	2528	0	0	0	1673	860	937	1635	3084	185	0
MIA3	921.692308	1088	541	514	2662	533	799	738	145	0	93	199	82	0	145	0	1292	3341	0	380	261	1983	1888	1234	2657	3102	287	0
RESF1	904.269231	1758	500	486	2439	800	764	867	317	0	0	0	130	0	0	0	1519	3287	159	987	829	774	2223	866	2274	2063	469	0
ZNF823	904.038462	1432	505	546	2608	399	392	406	350	0	264	182	415	108	311	0	2035	2929	170	361	246	880	2630	1207	2530	2599	0	0
NELFCD	865.923077	889	947	952	2294	655	820	694	0	0	0	0	0	0	0	0	1215	3027	153	352	216	747	3131	1348	1956	2802	316	0
VPS13C	859.884615	978	496	569	2682	768	1110	978	166	0	0	0	0	0	0	0	1190	3181	0	478	0	987	1557	1849	2186	2996	186	0
SNX17	855.692308	1649	454	610	2037	647	1009	863	0	0	0	0	0	0	0	0	1842	2825	461	388	267	517	2514	1481	2094	2493	97	0
EIF2B4	855.692308	1649	454	610	2037	647	1009	863	0	0	0	0	0	0	0	0	1842	2825	461	388	267	517	2514	1481	2094	2493	97	0
CYB5R4	849.653846	1886	355	371	2909	1084	1357	999	225	0	167	0	0	0	168	0	542	3229	0	0	259	1184	2306	431	1443	2833	343	0
YAF2	848.538462	1833	497	752	2446	963	1131	1009	0	0	0	0	0	0	0	0	980	2993	0	613	276	570	2702	667	778	3055	797	0
PCNP	839.307692	860	537	682	2776	543	775	667	280	0	173	0	259	0	262	0	1167	2995	0	208	0	1539	2008	970	2287	2604	230	0
TMEM51	812.769231	1233	0	86	2020	926	1301	1417	580	268	237	172	362	154	517	253	1383	3076	0	228	231	1678	1259	0	1178	2573	0	0
IER5L	779.769231	1745	0	129	2106	937	1275	1174	352	0	0	0	0	0	295	0	2588	2453	0	237	0	769	1445	327	1202	3021	219	0
ZNRF3	761.884615	930	265	441	2434	1383	1526	1492	0	0	0	0	160	0	0	0	879	2472	0	241	0	584	1376	2055	1473	1676	422	0
AKT2	756.846154	1588	935	1102	2223	458	599	508	265	0	96	110	269	0	120	0	1077	3149	128	283	398	903	1080	0	1496	2334	557	0
PPID	756.230769	1490	445	694	2655	624	558	721	0	0	0	0	0	0	0	0	415	2637	0	455	419	812	1562	1194	2540	2288	153	0
MTRNR2L8	755.500000	880	678	799	365	416	552	592	793	615	494	736	843	974	1008	1097	348	1112	639	353	367	663	1045	858	1476	1178	762	0
CDK6	754.576923	959	580	724	1930	461	510	582	186	149	0	0	153	0	126	0	1340	2882	145	654	1138	1288	2956	0	198	2658	0	0
SRSF1	734.769231	1163	176	254	1931	499	797	806	230	93	132	169	195	0	185	111	973	2976	0	0	124	1044	2918	196	1264	2868	0	0
SMIM29	727.076923	1146	369	552	1838	486	557	925	0	0	0	0	0	0	0	0	1259	2810	0	380	0	545	1614	1268	2311	2573	271	0
NRBP1	713.730769	876	561	683	2411	371	778	627	0	0	0	0	0	0	0	0	921	2767	0	584	204	614	1575	1239	2046	1920	380	0
MTRNR2L2	711.538462	487	850	1043	299	428	612	574	759	721	601	812	1160	1118	1157	1384	280	615	278	245	397	470	691	550	1272	804	893	0
SMPD3	711.230769	2694	542	621	2588	482	583	572	0	0	0	0	0	0	0	0	0	987	205	443	230	432	2170	592	2137	2911	303	0
MLLT6	710.346154	1188	0	0	1989	986	1020	785	0	0	0	0	0	0	0	0	929	2497	1260	0	0	1512	1830	1111	2012	1350	0	0
TIGD5	707.923077	756	324	328	2082	1119	1543	1533	0	0	0	0	0	0	0	0	1126	2503	0	285	172	861	1304	710	1407	2202	151	0
EEF1D	707.923077	756	324	328	2082	1119	1543	1533	0	0	0	0	0	0	0	0	1126	2503	0	285	172	861	1304	710	1407	2202	151	0
CSNK1A1	697.576923	601	415	455	1717	793	800	1079	425	0	195	277	286	148	237	0	797	2611	171	148	278	887	1304	181	1762	2338	232	0
APTX	687.153846	1006	145	181	2278	313	286	322	271	0	0	105	191	0	97	0	766	3154	0	202	109	726	1573	370	2480	3198	93	0
SLC25A36	686.576923	434	0	0	2115	960	947	951	228	0	0	0	0	0	213	0	725	2973	0	0	0	1160	2400	603	1984	2158	0	0
MAGED2	686.115385	978	347	450	2461	232	217	336	0	0	0	0	0	0	0	0	1570	3397	0	285	0	531	1577	837	1645	2583	393	0
PFDN4	685.615385	809	279	311	2250	952	1009	882	0	0	0	0	0	0	0	0	954	2870	195	0	0	897	2319	665	1227	2207	0	0
PSD3	684.000000	2462	297	285	2488	1136	1367	1545	501	0	338	0	320	0	311	129	0	219	277	0	0	1536	2400	0	395	1778	0	0
ZSCAN9	683.500000	898	176	128	2624	851	724	875	115	0	165	0	0	0	0	0	736	3150	0	165	150	1235	1123	785	1615	2081	175	0
ZMIZ1	682.807692	1372	0	0	2165	617	757	868	266	0	0	0	0	0	0	0	1014	2886	0	154	201	1181	2768	0	425	3079	0	0
DIAPH2	663.307692	1233	332	318	1975	437	447	400	0	0	0	0	0	0	0	0	1606	3103	0	0	0	578	1901	589	1406	2921	0	0
RTCB	660.769231	1049	276	281	1849	443	712	701	0	0	133	0	0	0	0	0	725	3154	0	0	321	770	1959	598	2289	1920	0	0
SNRPC	656.038462	1243	488	565	2248	421	431	440	208	0	137	192	0	0	0	0	743	2779	209	0	112	1237	504	499	2303	2298	0	0
IST1	648.461538	1168	116	0	2539	788	1210	788	0	0	0	0	0	0	0	0	1154	2571	0	183	0	1018	1118	833	1127	2247	0	0
TCF7	644.961538	865	790	896	1793	1288	1618	1639	0	0	0	0	0	0	0	0	199	1539	0	1008	693	206	1563	0	116	1851	705	0
AMOTL2	641.807692	1118	0	0	2175	875	909	821	0	0	0	0	128	0	0	0	1410	2190	347	0	0	1141	1645	551	925	2452	0	0
YAP1	635.846154	382	0	0	2107	621	657	745	1416	631	625	634	1130	583	658	528	191	983	440	0	0	2659	0	108	256	1178	0	0
PDIA4	635.076923	970	193	151	2081	330	731	475	0	0	0	0	0	0	0	0	850	2614	0	222	0	284	1828	1590	1922	2271	0	0
FUNDC2	634.192308	837	349	420	2060	103	382	266	0	0	0	0	0	0	0	0	361	2486	0	209	0	328	1172	2030	2863	2460	163	0
MYO9B	630.730769	1579	108	196	2376	557	598	631	0	0	0	0	0	0	0	0	1419	2704	0	219	0	707	1268	582	1622	1707	126	0
HAUS8	630.730769	1579	108	196	2376	557	598	631	0	0	0	0	0	0	0	0	1419	2704	0	219	0	707	1268	582	1622	1707	126	0
CEP63	629.615385	719	142	181	2363	592	773	847	259	0	0	0	0	0	0	0	718	2723	0	0	0	1112	1695	422	1339	2485	0	0
ANAPC13	629.615385	719	142	181	2363	592	773	847	259	0	0	0	0	0	0	0	718	2723	0	0	0	1112	1695	422	1339	2485	0	0
NR4A1	626.769231	653	468	442	1778	545	778	684	0	0	0	0	0	0	0	0	1527	2384	0	638	517	341	1368	601	1880	988	704	0
THAP1	622.192308	501	786	920	2562	145	99	139	0	0	0	0	0	0	0	0	606	2868	0	200	125	1118	1639	399	2511	1249	310	0
ANKRD46	610.192308	488	209	281	2517	319	456	654	0	0	0	0	0	0	0	0	744	2541	0	0	0	772	1617	1210	2097	1847	113	0
PIK3C2B	609.153846	941	0	0	1935	346	538	486	0	0	0	0	0	0	0	0	1920	2588	0	0	0	791	2458	565	1880	1390	0	0
PLGRKT	606.576923	755	510	472	2494	290	406	329	168	0	0	0	0	0	0	0	1188	3319	0	0	0	869	1791	312	1307	1561	0	0
ZNF503	602.038462	1015	472	661	1477	548	514	442	0	0	0	0	0	0	0	0	1504	2380	0	154	0	833	1078	522	1764	1860	429	0
CCDC38	596.461538	842	558	771	2005	455	590	536	122	0	0	0	91	0	177	0	1317	3029	0	0	0	1260	1049	0	1110	1357	239	0
AMDHD1	596.461538	842	558	771	2005	455	590	536	122	0	0	0	91	0	177	0	1317	3029	0	0	0	1260	1049	0	1110	1357	239	0
ARHGAP31	594.230769	942	925	949	1855	446	514	735	0	0	0	0	0	0	0	0	676	2282	0	0	0	458	1592	297	806	2136	837	0
ZNF441	590.076923	1920	646	693	0	389	515	602	0	0	0	0	0	0	0	0	2609	3138	170	536	509	449	456	0	0	2710	0	0
TMX4	586.076923	723	163	194	1979	514	569	636	166	0	0	0	0	0	101	0	545	2404	0	0	0	383	1650	817	2072	2169	153	0
MAML1	585.653846	582	92	138	1730	257	286	272	0	0	0	0	0	0	0	0	894	2888	0	120	115	398	2293	726	2115	2087	234	0
SKA2	577.500000	336	0	0	2051	636	616	918	272	0	0	135	0	0	0	0	799	2790	0	0	0	1325	2399	223	866	1649	0	0
PRR11	577.500000	336	0	0	2051	636	616	918	272	0	0	135	0	0	0	0	799	2790	0	0	0	1325	2399	223	866	1649	0	0
RBM6	573.115385	776	335	378	2586	378	377	533	0	0	0	0	0	0	0	0	840	2595	0	0	0	615	784	611	1764	2181	148	0
TUBGCP5	571.923077	181	1117	1390	1939	226	361	391	0	0	0	0	0	0	0	0	293	1891	0	0	208	380	464	1528	2872	1310	319	0
ARNT	569.807692	522	960	1008	2124	576	784	817	0	0	0	0	0	0	0	0	580	1924	0	256	355	291	1137	646	559	1808	468	0
SRD5A3	566.923077	588	228	401	2003	554	692	803	0	0	0	0	0	0	0	0	756	2665	0	166	0	371	790	825	1765	2133	0	0
ZNF799	566.461538	1317	342	400	1482	595	421	529	285	0	0	0	248	0	105	0	536	2242	119	0	0	715	1509	647	1958	1278	0	0
PUM2	565.153846	355	287	252	2453	421	445	634	0	0	0	0	0	0	0	0	512	2377	0	216	0	438	1822	888	1544	1740	310	0
NEBL	564.769231	521	0	0	1254	510	773	674	1047	179	480	323	666	173	382	527	515	1574	0	0	0	1600	1484	0	296	1706	0	0
MINDY2	554.346154	1125	389	353	1662	171	280	288	0	0	0	0	0	0	0	0	613	2855	0	249	188	1007	1440	342	1518	1607	326	0
ZNF567	551.153846	1125	198	231	0	936	915	911	0	0	0	0	0	0	0	0	400	2300	0	126	0	756	1034	444	1790	2887	277	0
NARF	550.269231	863	0	0	2146	880	1077	952	0	0	0	0	0	0	0	0	825	2397	0	0	0	543	845	346	953	2480	0	0
DKK1	545.076923	825	0	0	1844	283	286	253	513	0	0	200	207	0	289	155	283	2471	421	0	0	1217	2319	0	0	2606	0	0
ZBTB38	542.576923	345	0	0	2663	415	420	462	0	0	0	0	0	0	0	0	1659	3022	226	146	0	1839	1798	0	133	979	0	0
RFFL	542.076923	956	224	276	2231	255	300	315	229	0	0	0	0	0	0	0	376	2567	0	0	83	1366	1194	0	2053	1546	123	0
GGH	537.538462	558	151	203	2097	426	409	567	124	0	0	0	156	0	0	0	457	2629	413	0	0	869	1190	368	1201	2158	0	0
FAM76B	536.038462	317	0	0	1154	346	486	418	183	0	0	210	242	0	0	0	446	2076	0	0	0	352	914	1603	2498	2692	0	0
CEP57	536.038462	317	0	0	1154	346	486	418	183	0	0	210	242	0	0	0	446	2076	0	0	0	352	914	1603	2498	2692	0	0
SMIM13	533.269231	863	221	207	2045	377	469	448	0	0	0	0	0	0	0	0	435	2396	0	286	239	763	959	555	1392	2210	0	0
GUK1	530.346154	1036	120	105	2324	329	516	466	0	0	0	0	132	0	0	0	0	1057	0	158	171	540	642	1256	2184	2753	0	0
SHC1	528.192308	1196	0	0	1807	215	356	356	115	0	0	168	187	0	0	0	1188	2356	0	0	0	381	695	526	1676	2335	176	0
CKS1B	528.192308	1196	0	0	1807	215	356	356	115	0	0	168	187	0	0	0	1188	2356	0	0	0	381	695	526	1676	2335	176	0
RBM48	514.076923	663	165	231	1800	513	471	632	241	0	0	126	134	0	161	0	264	1901	0	95	89	851	483	356	1898	2212	80	0
PEX1	514.076923	663	165	231	1800	513	471	632	241	0	0	126	134	0	161	0	264	1901	0	95	89	851	483	356	1898	2212	80	0
PPP1R12B	512.230769	741	103	172	2219	311	222	392	0	0	0	0	0	0	0	0	446	2244	0	0	0	839	933	293	1787	2616	0	0
UBL7	509.500000	619	255	237	1862	448	328	418	295	0	0	0	225	0	231	0	773	2749	0	0	0	616	994	0	755	2360	82	0
HSPA4	505.076923	798	380	595	1463	209	447	394	0	0	0	0	157	0	91	0	732	2864	0	103	169	508	492	390	1760	1580	0	0
ZNF451	503.346154	528	130	288	2168	284	463	416	0	0	0	0	0	0	0	0	500	2151	0	0	183	619	1409	454	1436	1889	169	0
CDK5R1	501.500000	790	0	0	2335	568	647	897	0	0	0	0	0	0	0	0	279	2014	0	237	0	406	771	538	565	2714	278	0
GOLGA6A	498.192308	427	0	0	2586	509	506	655	394	267	155	339	299	136	310	261	259	2069	0	0	0	851	2196	0	452	282	0	0
DHRS4	495.038462	512	403	501	1613	371	630	451	0	0	0	0	0	0	0	0	604	2107	0	0	0	425	995	1309	2236	714	0	0
MTF2	483.423077	1202	244	309	2568	482	474	528	0	0	0	0	0	0	0	0	365	2311	0	121	0	1345	0	292	930	1200	198	0
GOLGA6B	481.192308	349	0	0	2334	451	476	547	442	213	118	334	357	132	256	300	167	2173	0	0	0	787	2465	0	390	220	0	0
GRHL3	474.615385	1009	0	148	2119	0	1909	1692	0	0	0	0	0	0	0	0	0	0	0	141	172	1700	0	0	1796	1654	0	0
MAP3K7	474.307692	960	622	517	1706	250	379	495	0	0	0	0	0	0	0	0	285	2678	0	0	89	339	186	104	2443	1279	0	0
NKD1	472.538462	480	1763	1720	1486	482	548	980	204	0	0	113	0	0	0	0	0	0	665	235	185	303	600	496	661	941	424	0
MBD6	470.846154	349	0	0	1678	121	203	121	0	0	0	0	128	0	0	0	471	2451	0	0	0	282	1394	903	1739	2291	111	0
SLC25A10	466.076923	670	95	243	2205	832	1224	1256	0	0	0	0	0	0	0	0	0	1650	0	0	0	318	703	0	140	2639	143	0
OGDH	464.384615	682	171	145	1755	320	555	487	0	0	0	0	0	0	0	0	463	1805	0	210	0	198	1233	762	813	2282	193	0
COLEC12	463.961538	2145	315	350	193	158	239	348	245	0	0	0	373	172	0	0	0	0	0	433	846	709	3232	0	1832	473	0	0
HNRNPLL	463.615385	398	0	0	1410	264	421	413	0	0	0	0	0	0	0	0	618	2741	0	105	110	311	1205	591	1645	1822	0	0
ATR	462.807692	268	0	203	2455	369	293	390	0	0	0	0	0	0	0	0	359	2023	0	0	0	858	774	558	1330	2153	0	0
ZKSCAN5	460.500000	667	0	89	1528	402	640	516	0	0	0	0	0	0	0	0	350	2097	0	117	0	587	1316	374	880	2410	0	0
ZNF443	458.884615	930	469	497	1260	398	470	541	156	0	71	0	85	0	0	0	505	2103	0	0	0	664	1236	247	1303	996	0	0
ZWINT	452.692308	1202	202	241	2198	150	278	315	0	0	0	0	0	0	0	0	471	2544	0	134	0	320	283	237	1459	1736	0	0
NUP155	452.230769	287	190	236	1971	501	621	508	0	0	0	0	0	0	0	0	609	2457	0	0	0	566	417	372	1497	1372	154	0
TGIF1	444.500000	0	148	130	2097	815	1115	733	0	0	0	0	0	0	0	0	274	1348	170	0	0	1395	538	383	712	1699	0	0
AOPEP	441.576923	376	320	178	2313	308	266	276	0	0	0	0	0	0	0	0	483	2484	0	0	0	405	1227	184	1182	1479	0	0
SOCS2	440.423077	552	0	0	1943	545	509	680	0	0	0	0	0	0	0	0	830	2297	0	141	0	389	639	292	694	1940	0	0
ZNF142	439.769231	862	238	303	1942	487	347	339	0	0	0	0	0	0	0	0	271	1604	0	0	0	1075	670	438	906	1952	0	0
BCS1L	439.769231	862	238	303	1942	487	347	339	0	0	0	0	0	0	0	0	271	1604	0	0	0	1075	670	438	906	1952	0	0
INCENP	439.692308	284	233	231	1684	611	554	599	0	0	0	0	0	0	0	0	813	2487	0	0	0	595	952	204	674	1511	0	0
RNF5	437.384615	727	0	111	1737	178	211	253	270	0	101	157	119	0	0	0	608	2410	0	0	0	699	824	0	962	2005	0	0
AGPAT1	437.384615	727	0	111	1737	178	211	253	270	0	101	157	119	0	0	0	608	2410	0	0	0	699	824	0	962	2005	0	0
CCDC88A	436.615385	505	170	159	2212	780	1077	934	0	0	0	0	0	0	0	0	472	1681	0	0	0	730	251	243	239	1777	122	0
PRPF8	434.000000	775	0	0	2184	432	478	516	0	0	0	0	162	0	0	0	663	2516	102	0	0	736	437	149	569	1565	0	0
ZNF827	433.923077	1316	291	453	2310	381	355	484	443	165	219	191	191	0	147	124	0	0	132	0	0	733	872	281	850	1344	0	0
KIF2A	432.769231	615	0	0	1867	318	345	313	0	0	0	0	0	0	0	0	351	2185	0	143	196	543	811	547	1539	1296	183	0
GOLGA6C	430.500000	276	0	0	2447	497	485	566	278	0	0	255	378	181	192	215	223	2018	0	0	0	797	1766	0	377	242	0	0
HRH1	430.038462	0	0	0	2023	387	447	493	442	207	133	291	250	0	96	0	1045	2881	0	0	0	1737	0	0	0	749	0	0
SH3BGRL2	429.461538	1112	346	371	1979	295	325	331	0	0	0	0	0	0	0	0	0	231	0	465	174	337	1308	843	1998	1051	0	0
TCF7L2	426.461538	540	0	0	1895	520	481	575	360	93	183	227	350	0	138	0	457	2019	0	0	211	604	426	0	463	1546	0	0
CDK12	425.576923	338	1431	1760	267	433	451	381	174	0	0	0	101	0	0	0	136	1251	0	0	124	606	0	128	2975	337	172	0
AGFG2	423.230769	776	0	94	1424	353	526	400	131	0	0	0	182	0	0	0	832	2341	274	158	307	441	272	183	874	1436	0	0
PUS7L	422.307692	281	0	158	1792	207	290	316	0	0	0	0	0	0	0	0	505	3085	0	0	0	577	1092	0	1182	1495	0	0
IRAK4	422.307692	281	0	158	1792	207	290	316	0	0	0	0	0	0	0	0	505	3085	0	0	0	577	1092	0	1182	1495	0	0
SMAD3	422.269231	403	115	103	2014	701	742	529	0	0	0	0	0	0	0	0	147	1180	0	0	0	402	610	633	700	2592	108	0
SGPP1	421.307692	580	151	213	2228	336	543	664	0	0	0	0	0	0	0	0	644	2222	0	131	0	363	639	359	1047	834	0	0
CGB1	421.000000	159	0	0	2643	947	1266	1220	356	0	0	207	236	0	387	164	157	682	0	431	280	1204	0	139	231	237	0	0
SORBS1	420.307692	345	0	0	1425	443	801	571	0	0	0	0	0	0	0	0	447	2113	0	107	0	0	660	351	673	2992	0	0
C10orf88	414.000000	432	164	200	2359	293	346	336	0	0	0	0	0	0	0	0	219	1849	0	0	0	1124	343	378	1221	1500	0	0
FAM222A	412.423077	756	0	0	1664	529	634	571	0	0	0	0	0	0	0	0	497	1979	0	189	0	253	381	503	1170	1471	126	0
CALCOCO2	410.846154	428	0	0	1289	762	875	1085	0	0	0	0	0	0	0	0	524	1704	0	0	0	333	727	283	817	1855	0	0
PSMD8	405.884615	350	0	189	2073	333	658	364	0	0	0	0	0	0	0	0	310	1348	0	225	0	380	904	359	1081	1878	101	0
RGPD2	405.000000	241	620	726	99	371	289	218	525	358	290	498	569	742	680	791	232	419	0	139	242	347	553	202	440	576	363	0
RGPD1	405.000000	241	620	726	99	371	289	218	525	358	290	498	569	742	680	791	232	419	0	139	242	347	553	202	440	576	363	0
ZNF292	400.576923	359	0	123	2185	336	386	296	0	0	0	0	0	0	0	0	237	1855	0	184	0	576	769	408	1299	1402	0	0
GOLGA6D	400.384615	253	0	0	2041	460	473	485	281	188	115	289	162	0	275	0	136	1886	0	0	0	656	2076	0	434	200	0	0
FGF18	400.307692	255	423	434	2686	700	978	1321	0	0	0	0	0	0	0	0	0	0	0	204	0	573	782	206	333	1513	0	0
CDC14B	397.461538	221	197	0	1253	493	443	462	581	0	247	182	463	0	243	128	388	1370	0	0	161	1003	910	340	550	699	0	0
ALG9	394.076923	263	0	0	2088	634	627	803	0	0	0	0	0	0	0	0	269	1626	0	0	0	619	186	370	972	1789	0	0
CENPA	393.000000	114	132	0	1781	228	183	242	0	0	0	0	0	0	0	0	547	2472	0	0	0	510	1497	225	626	1661	0	0
IDI1	392.653846	270	136	142	1618	0	126	97	0	0	0	0	0	0	0	0	261	2039	0	0	0	186	1851	571	1487	1425	0	0
SLC3A2	389.230769	809	327	305	1487	214	260	340	223	0	0	0	0	0	0	0	774	1945	0	287	218	216	1057	454	424	561	219	0
ACVR1C	382.846154	377	214	304	2169	876	1048	987	0	0	0	0	0	0	0	0	0	0	0	0	0	183	1153	804	1174	665	0	0
TAF8	381.384615	641	0	0	1140	408	605	587	225	0	170	0	177	0	0	0	459	2026	0	0	0	632	732	78	344	1621	71	0
SEC24C	380.692308	186	172	135	1446	360	439	415	0	0	0	0	0	0	0	0	688	2540	0	0	0	382	384	248	661	1842	0	0
JPT2	379.038462	838	0	0	2269	214	288	320	0	0	0	0	0	0	0	0	331	1625	0	0	0	401	766	410	1234	1159	0	0
IRAK1BP1	377.038462	313	0	120	1450	484	697	476	0	0	0	0	0	0	0	0	296	1748	0	0	0	495	514	467	1354	1389	0	0
NUP160	376.538462	249	0	181	1762	526	506	500	0	0	0	0	0	0	0	0	744	2149	0	0	0	310	395	332	932	1204	0	0
FDXACB1	375.807692	1444	0	0	1136	404	442	507	190	0	0	0	209	0	156	75	462	3131	0	0	0	180	278	75	612	470	0	0
C11orf1	375.807692	1444	0	0	1136	404	442	507	190	0	0	0	209	0	156	75	462	3131	0	0	0	180	278	75	612	470	0	0
SAMHD1	375.346154	225	228	319	1313	301	438	439	0	0	0	0	0	0	0	0	563	2347	0	0	0	312	421	430	1117	1306	0	0
FBXO8	375.192308	532	105	325	1758	306	347	207	120	118	0	0	137	0	0	0	194	1324	0	0	115	892	403	178	1282	1412	0	0
CEP44	375.192308	532	105	325	1758	306	347	207	120	118	0	0	137	0	0	0	194	1324	0	0	115	892	403	178	1282	1412	0	0
MAD2L1BP	374.153846	563	124	148	2281	172	132	209	0	0	0	0	0	0	0	0	280	1879	0	0	0	681	650	196	802	1611	0	0
TMEM161A	371.923077	849	0	0	1496	471	430	660	0	0	0	0	0	0	0	0	424	2010	0	0	0	452	670	164	924	1120	0	0
FAM156B	370.615385	0	0	94	1208	134	149	101	0	0	0	0	0	0	0	0	439	2753	0	0	0	211	880	538	1757	1258	114	0
FAM156A	370.615385	0	0	94	1208	134	149	101	0	0	0	0	0	0	0	0	439	2753	0	0	0	211	880	538	1757	1258	114	0
TMEM123	368.923077	390	1496	1594	1350	373	461	445	0	0	0	0	107	0	0	0	0	643	0	0	0	283	0	209	648	1093	500	0
TES	367.884615	330	0	132	1562	216	331	252	0	0	0	0	0	0	0	0	383	1779	0	0	0	491	886	313	705	2185	0	0
METTL16	366.730769	162	366	531	1559	146	131	219	225	0	0	0	0	0	0	0	426	1994	0	0	0	443	722	0	1784	827	0	0
ETV4	362.769231	1299	0	0	2552	211	342	288	1035	307	312	443	575	265	368	228	0	560	342	0	0	305	0	0	0	0	0	0
PDLIM5	362.230769	413	0	0	1317	244	268	267	0	0	0	0	0	0	0	0	930	2775	0	0	0	0	1161	0	953	1090	0	0
IKBKE	359.346154	296	260	320	1939	284	302	358	243	0	143	181	253	0	0	0	677	2480	0	0	0	358	385	84	521	167	92	0
SEPTIN9	357.230769	1054	502	465	1846	0	280	201	0	0	0	0	0	0	0	0	0	835	156	227	130	922	360	0	565	1745	0	0
