Target_genes	ATF3|Average	SRX190245|A549	SRX2207915|CS1AN	SRX2207916|CS1AN	SRX2207917|CS1AN	SRX2207918|CS1AN	SRX1759184|Dermal_fibroblast	SRX1759186|Dermal_fibroblast	SRX109484|GBM1-HAM	SRX100553|GM12878	SRX1384025|HCT_116	SRX1384026|HCT_116	SRX1384029|HCT_116	SRX190213|HCT_116	SRX100548|Hep_G2	SRX100557|hESC_H1	SRX100425|K-562	SRX150471|K-562	STRING
STK40	733.352941	669	136	596	0	382	0	948	1287	0	2082	0	2052	1707	355	496	1545	212	0
CLCN7	719.941176	309	0	0	0	333	0	0	0	2396	669	201	396	415	2084	2265	1922	1249	0
WASHC2A	711.764706	660	0	83	0	329	0	0	0	2466	351	0	153	567	2107	2483	1673	1228	0
BDP1	699.823529	249	240	876	0	349	0	345	200	1428	1477	86	1035	749	948	1267	1970	678	0
KMT2A	699.411765	0	799	1213	0	153	0	115	0	2040	250	0	135	155	1850	2174	1701	1305	0
NUP153	696.058824	100	0	197	0	268	0	0	0	1487	1334	401	1289	346	1703	1484	1726	1498	0
GPAM	690.411765	174	149	570	0	363	0	383	0	1524	1365	317	1759	735	0	1114	2118	1166	0
SSU72	689.588235	140	123	166	0	281	0	0	0	1425	1316	451	1348	262	1392	1794	1665	1360	0
AMDHD2	685.882353	392	0	106	0	422	0	142	0	2303	591	0	233	421	1633	2209	1919	1289	0
GET4	679.176471	228	0	130	0	345	0	226	0	2053	549	214	224	424	1955	2125	1613	1460	0
MCOLN1	677.000000	218	98	220	0	261	0	0	0	2367	375	0	220	484	2084	2191	2124	867	0
MRPL55	676.529412	0	0	285	0	283	0	380	165	1160	1511	490	1250	560	1059	1067	1848	1443	0
ATP6V0D1	675.529412	263	0	137	0	348	0	0	0	2288	550	0	243	379	2048	2353	1962	913	0
PDAP1	665.588235	542	127	868	0	347	0	842	727	231	1624	0	1752	1513	407	992	1213	130	0
BUD31	665.588235	542	127	868	0	347	0	842	727	231	1624	0	1752	1513	407	992	1213	130	0
RPS6KB2	655.470588	149	138	236	0	181	0	0	144	1397	1254	307	1080	527	1503	1498	1966	763	0
ACOX3	654.647059	0	147	474	0	398	0	142	133	1520	868	162	1127	373	1365	1355	1753	1312	0
TRMT44	653.529412	0	147	474	0	379	0	142	133	1520	868	162	1127	373	1365	1355	1753	1312	0
RRP1	650.823529	0	166	402	0	333	0	0	0	1443	1170	372	1116	339	1444	1595	1710	974	0
RLF	648.588235	0	0	343	0	377	0	136	0	1462	1268	301	1150	332	1367	1464	1842	984	0
PKN2	645.588235	0	0	237	0	547	0	0	0	1896	745	102	700	206	2038	1848	1987	669	0
ATF3	644.000000	324	476	1300	0	242	0	605	888	0	1655	0	1555	1607	526	496	1274	0	0
MTHFSD	640.647059	197	0	280	0	360	0	0	0	1146	1353	402	1311	522	1400	1187	1843	890	0
MRM3	637.235294	337	0	180	0	242	0	0	0	1374	1331	376	1131	415	1188	1243	1818	1198	0
GLOD4	637.235294	337	0	180	0	242	0	0	0	1374	1331	376	1131	415	1188	1243	1818	1198	0
KNL1	636.941176	2283	0	99	0	397	0	439	951	0	1045	0	1198	1910	163	740	1603	0	0
HERPUD1	626.000000	146	0	789	0	411	0	825	190	241	2036	0	1889	974	902	715	1259	265	0
MARCHF8	615.882353	427	0	0	0	313	0	0	0	2162	208	0	210	330	1732	2027	1912	1149	0
YARS1	615.764706	373	204	1115	0	375	0	692	552	204	1306	0	1856	1108	448	757	1478	0	0
S100PBP	615.764706	373	204	1115	0	375	0	692	552	204	1306	0	1856	1108	448	757	1478	0	0
OXNAD1	614.588235	163	106	637	0	566	0	141	0	1566	823	149	870	336	1227	1223	1801	840	0
KAT5	614.588235	414	0	189	0	203	0	0	0	2255	138	0	0	294	1733	2050	1843	1329	0
DPH3	614.588235	163	106	637	0	566	0	141	0	1566	823	149	870	336	1227	1223	1801	840	0
FANCD2	614.117647	179	117	502	0	446	0	0	0	1305	734	158	685	346	1291	1660	1817	1200	0
CCDC86	613.823529	164	209	409	0	268	0	0	0	1452	1110	152	1004	561	1055	1121	1764	1166	0
NAGPA	612.117647	538	0	96	0	381	0	0	0	2092	0	0	0	523	1898	2073	2046	759	0
ORMDL3	610.823529	0	99	182	0	403	0	0	0	1745	705	296	633	177	1730	1736	1843	835	0
MTHFR	608.529412	91	0	147	0	387	0	0	76	2089	474	0	0	241	1671	2179	1560	1430	0
CLCN6	608.529412	91	0	147	0	387	0	0	76	2089	474	0	0	241	1671	2179	1560	1430	0
TSN	607.000000	231	136	257	0	499	0	83	0	783	1435	450	1525	513	1254	957	1513	683	0
TSR3	604.470588	722	0	0	0	204	0	0	0	2283	229	0	0	535	2060	1847	1983	413	0
GNPTG	604.470588	722	0	0	0	204	0	0	0	2283	229	0	0	535	2060	1847	1983	413	0
TRUB1	604.058824	338	0	363	0	167	0	554	139	1015	1351	323	1573	1015	928	1010	1493	0	0
SLC38A7	603.235294	160	0	0	0	212	0	0	0	2389	135	0	0	102	1844	2213	2155	1045	0
MAPKAPK5	601.058824	281	122	458	0	533	0	0	0	1003	1840	627	1531	293	852	542	1439	697	0
PPIL4	594.117647	0	0	155	0	165	0	131	0	1096	1096	192	956	420	1464	1611	1863	951	0
NEURL2	591.352941	487	0	89	0	255	0	0	0	2196	145	0	0	404	1845	1956	2008	668	0
CTSA	591.352941	487	0	89	0	255	0	0	0	2196	145	0	0	404	1845	1956	2008	668	0
MED9	587.529412	152	217	598	0	1035	0	0	0	1256	673	260	745	463	1051	1085	1861	592	0
PYCR1	582.588235	0	111	560	0	240	0	1100	0	190	2004	0	2012	1075	792	622	1198	0	0
GTF2H3	582.470588	185	0	109	0	392	0	0	0	1320	1003	152	587	545	1363	1315	1779	1152	0
EIF2B1	582.470588	185	0	109	0	392	0	0	0	1320	1003	152	587	545	1363	1315	1779	1152	0
ZNF76	580.764706	116	715	1255	0	378	0	146	0	1070	563	0	166	270	1580	1694	1496	424	0
ETFDH	577.058824	211	78	822	0	452	0	605	396	232	1459	0	1233	1184	292	823	1754	269	0
C4orf46	577.058824	211	78	822	0	452	0	605	396	232	1459	0	1233	1184	292	823	1754	269	0
PHF7	574.764706	0	0	362	0	267	0	0	0	1330	1050	310	1045	169	1330	1078	1905	925	0
BAP1	574.764706	0	0	362	0	267	0	0	0	1330	1050	310	1045	169	1330	1078	1905	925	0
RPUSD4	574.176471	163	0	89	0	236	0	0	0	2172	261	0	0	302	1834	2177	1877	650	0
FAM118B	574.176471	163	0	89	0	236	0	0	0	2172	261	0	0	302	1834	2177	1877	650	0
ABT1	573.588235	0	206	373	0	280	0	272	110	1620	841	264	671	190	1585	1247	1308	784	0
HPS5	572.823529	139	0	238	0	392	0	167	0	1772	872	0	435	532	1366	1659	1420	746	0
GTF2H1	572.823529	139	0	238	0	392	0	167	0	1772	872	0	435	532	1366	1659	1420	746	0
ATG5	568.000000	101	0	206	0	214	0	273	0	1507	1217	166	571	595	1290	1296	1799	421	0
MFSD1	560.941176	211	0	98	0	296	0	214	0	1910	266	0	159	232	1467	1822	1969	892	0
SNX12	559.882353	277	703	1488	0	0	0	0	0	0	238	0	108	185	2113	1900	2026	480	0
UBE2Q1	558.411765	141	0	140	0	428	0	175	0	2106	181	0	126	278	1400	1927	1892	699	0
NFX1	556.588235	185	0	191	0	109	0	278	87	1406	654	267	779	402	1293	1320	1622	869	0
TMEM208	555.823529	290	0	168	0	376	0	0	0	1800	309	0	413	283	1323	1407	1931	1149	0
LRRC29	555.823529	290	0	168	0	376	0	0	0	1800	309	0	413	283	1323	1407	1931	1149	0
RRAGC	555.705882	0	0	152	0	437	0	0	0	1973	249	0	0	206	1458	2148	2029	795	0
HAUS5	555.647059	103	131	275	0	388	0	258	0	861	1196	361	1009	341	777	961	1891	894	0
ATP6V0B	553.529412	0	0	0	0	193	0	0	0	1743	671	0	369	146	1560	1951	1742	1035	0
C1D	552.235294	84	0	230	0	0	0	0	0	1294	1207	323	961	154	1340	1175	1965	655	0
GBA	547.058824	527	0	367	0	0	0	0	0	2165	305	0	347	467	1559	1837	1592	134	0
ATG7	546.647059	152	0	952	0	743	0	632	0	513	1071	0	1232	805	859	534	1385	415	0
SPTLC1	545.470588	0	0	287	0	439	0	0	0	934	791	143	1080	300	911	1144	1867	1377	0
LUC7L2	541.117647	2002	0	126	0	254	0	218	822	1024	427	0	248	1609	456	333	1309	371	0
AASDH	539.529412	0	103	269	0	245	0	0	0	1397	471	179	688	241	1186	1399	1813	1181	0
COMMD9	539.117647	347	0	161	0	224	0	0	0	1961	182	0	95	257	1826	1822	1819	471	0
SRRD	539.058824	0	0	417	0	422	0	121	0	1107	1052	241	877	284	1126	1218	1716	583	0
HPS4	539.058824	0	0	417	0	422	0	121	0	1107	1052	241	877	284	1126	1218	1716	583	0
GARS1	535.058824	451	0	401	0	429	0	548	0	151	1460	0	1899	1209	412	854	1282	0	0
RAD9A	533.705882	193	0	0	0	151	0	0	0	2222	209	0	150	199	1425	1998	1897	629	0
FMC1-LUC7L2	533.705882	2002	0	0	0	254	0	218	822	1024	427	0	248	1609	456	333	1309	371	0
FMC1	533.705882	2002	0	0	0	254	0	218	822	1024	427	0	248	1609	456	333	1309	371	0
SLC35A5	532.117647	172	0	0	0	305	0	0	0	2203	121	0	0	285	1629	1936	1881	514	0
ATG3	532.117647	172	0	0	0	305	0	0	0	2203	121	0	0	285	1629	1936	1881	514	0
SPPL3	531.588235	0	0	0	0	305	0	0	0	2173	137	0	107	191	1567	2036	1902	619	0
SLC7A11	531.000000	353	0	0	0	0	0	515	1135	0	1663	0	1654	1145	289	452	1821	0	0
UTP25	528.882353	156	0	149	0	137	0	0	0	1723	858	329	431	212	1634	1299	1655	408	0
EIF2S2	528.588235	128	0	359	0	290	0	424	379	812	802	102	1087	554	1017	1042	1619	371	0
ATXN1L	527.588235	119	100	386	0	350	0	195	0	1102	795	0	784	279	1418	981	1768	692	0
FAM122A	527.294118	194	0	372	0	458	0	0	0	1274	815	154	690	338	1380	1179	1602	508	0
BAX	526.176471	214	0	0	0	290	0	0	0	2097	228	0	95	208	1532	1928	1804	549	0
PSMB2	523.058824	0	167	304	0	258	0	0	0	1238	775	241	732	228	908	1096	1876	1069	0
NUP214	522.941176	119	0	330	0	525	0	0	0	1202	749	179	702	519	1007	1126	1046	1386	0
CFAP410	519.058824	0	119	257	0	520	0	0	0	1277	917	156	633	253	1038	1442	1661	551	0
TFPT	517.941176	287	89	145	0	124	0	0	0	1393	620	196	549	227	1149	1179	1680	1167	0
ATP6V1C1	517.588235	222	0	106	0	566	0	0	0	1660	272	0	250	384	1367	1460	1669	843	0
VPS33A	516.764706	603	0	0	0	261	0	0	0	1863	149	0	124	650	1564	1411	1681	479	0
RMND1	513.411765	306	0	0	0	104	0	0	0	1868	169	0	190	469	1771	1452	1896	503	0
ARMT1	513.411765	306	0	0	0	104	0	0	0	1868	169	0	190	469	1771	1452	1896	503	0
SLC35E1	511.294118	0	126	268	0	275	0	0	0	1094	1172	515	1013	264	837	715	1825	588	0
PRPF31	510.647059	287	89	145	0	0	0	0	0	1393	620	196	549	227	1149	1179	1680	1167	0
BLOC1S1	510.588235	386	0	113	0	148	0	0	0	1954	196	0	0	440	1338	1645	1834	626	0
MAGOHB	509.058824	287	165	767	0	289	0	237	0	1031	1244	220	924	397	821	744	1355	173	0
WFDC3	506.882353	0	0	149	0	601	0	0	0	722	1131	195	825	240	1219	862	1798	875	0
DNTTIP1	506.882353	0	0	149	0	601	0	0	0	722	1131	195	825	240	1219	862	1798	875	0
RETREG2	505.882353	168	0	152	0	285	0	0	0	1850	216	0	138	222	1734	1775	1609	451	0
CNPPD1	505.882353	168	0	152	0	285	0	0	0	1850	216	0	138	222	1734	1775	1609	451	0
WDR4	505.529412	323	0	407	0	483	0	0	0	1098	1157	282	730	351	731	786	1595	651	0
PINX1	502.705882	0	158	389	0	540	0	0	0	879	823	227	694	314	1129	1105	1770	518	0
FAM149B1	502.470588	171	0	0	0	345	0	0	0	1165	704	229	710	294	1286	681	1816	1141	0
ECD	502.470588	171	0	0	0	345	0	0	0	1165	704	229	710	294	1286	681	1816	1141	0
RPL6	500.823529	199	135	406	0	288	0	497	247	1093	799	0	659	289	1101	854	1610	337	0
POMZP3	499.000000	0	0	163	0	317	0	0	0	1260	906	0	758	325	1137	1258	1759	600	0
GAA	497.823529	162	0	105	0	215	0	0	0	1921	288	0	126	174	1756	1303	1738	675	0
AP2B1	496.058824	224	110	309	0	192	0	149	0	1026	971	0	787	506	718	990	1543	908	0
SPNS1	494.941176	322	0	0	0	383	0	0	0	1918	207	0	0	394	1606	1503	1636	445	0
MRPL2	493.941176	0	152	301	0	372	0	0	0	763	951	218	769	226	1115	901	1725	904	0
KLC4	493.941176	0	152	301	0	372	0	0	0	763	951	218	769	226	1115	901	1725	904	0
ATP6V1H	493.764706	138	0	71	0	428	0	0	0	1899	282	0	112	206	1389	1681	1703	485	0
ADPGK	492.882353	163	0	259	0	394	0	0	0	1151	468	165	658	333	1213	1094	1754	727	0
HAGH	490.823529	708	0	0	0	350	0	0	0	2024	129	0	0	585	1320	1214	1669	345	0
FAHD1	490.823529	708	0	0	0	350	0	0	0	2024	129	0	0	585	1320	1214	1669	345	0
RAD18	490.176471	0	0	500	0	535	0	0	0	1062	691	162	792	243	1163	954	1869	362	0
PPP1R15B	489.882353	236	0	665	0	556	0	317	616	0	1548	0	1446	783	316	644	996	205	0
PTPN11	489.117647	0	135	406	0	288	0	497	247	1093	799	0	659	289	1101	854	1610	337	0
CMTR1	485.000000	0	122	546	0	567	0	0	0	699	1144	187	669	464	1045	626	1487	689	0
ATP6V1G1	483.764706	327	0	0	0	343	0	0	0	1741	140	0	138	281	1366	1563	1694	631	0
EIF2S3	483.705882	376	106	960	0	0	0	730	236	0	1279	0	1444	830	337	614	1311	0	0
RNF139	482.823529	151	0	89	0	299	0	233	86	710	1455	290	1082	514	518	894	1495	392	0
RMDN3	482.647059	0	0	213	0	496	0	0	0	1015	1165	426	1049	0	1032	762	1600	447	0
SPRYD4	482.117647	99	0	0	0	227	0	0	0	1454	737	222	816	224	1016	1056	1724	621	0
ACAD9	475.352941	163	0	246	0	429	0	233	0	1533	879	0	416	509	1130	1014	1202	327	0
MORF4L1	472.470588	119	172	398	0	377	0	0	0	1086	571	179	800	206	1057	757	1798	512	0
ADAR	471.235294	99	0	278	0	474	0	176	0	1688	570	183	474	335	768	1017	1559	390	0
SUMF1	470.588235	383	0	157	0	441	0	0	0	1881	0	0	0	315	1399	1289	1750	385	0
CLN3	469.647059	0	0	0	0	130	0	0	0	1992	145	0	0	160	1540	1610	1849	558	0
PSMB6	469.352941	211	149	93	0	0	0	0	0	1775	912	174	357	217	1610	932	1044	505	0
TMEM181	468.588235	0	0	0	0	266	0	0	0	1442	386	75	339	139	1249	1583	1843	644	0
ZNF721	465.941176	136	0	122	0	306	0	0	0	954	605	269	758	354	1133	997	1744	543	0
PIGG	465.941176	136	0	122	0	306	0	0	0	954	605	269	758	354	1133	997	1744	543	0
MIA3	465.411765	186	0	139	0	337	0	0	0	746	1073	283	739	398	509	905	1869	728	0
DHX40	465.352941	159	0	175	0	486	0	0	0	666	1115	224	1119	395	272	1005	1794	501	0
RPS29	465.176471	1374	0	538	0	389	0	160	120	0	1559	0	599	1530	294	258	1087	0	0
MTRNR2L2	465.176471	1173	366	230	374	156	0	0	0	633	365	840	331	1306	569	529	733	303	0
NCOA7	465.117647	2434	0	0	0	260	0	173	465	0	224	0	410	2045	117	0	1779	0	0
IARS1	465.058824	102	0	1073	0	708	0	540	493	95	1054	0	1368	682	192	464	1013	122	0
LDAH	460.117647	169	0	183	0	222	0	0	0	1090	646	0	475	363	1388	916	1675	695	0
SLC35F5	460.000000	116	0	447	0	431	0	88	0	845	893	0	618	363	1124	806	1612	477	0
MRPS15	459.705882	189	0	594	0	238	0	864	155	156	1039	0	907	1135	666	434	1306	132	0
IPO11	459.470588	225	0	125	0	336	0	0	0	1151	628	242	726	264	869	863	1667	715	0
CCNA2	458.529412	0	0	186	0	697	0	0	0	947	1026	232	862	214	786	864	1766	215	0
UBR4	457.941176	88	0	456	0	292	0	185	0	615	930	146	807	461	616	1093	1657	439	0
TRAPPC2L	456.764706	99	0	89	0	375	0	0	0	1579	219	0	189	173	1468	1471	1681	422	0
GALNS	456.764706	99	0	89	0	375	0	0	0	1579	219	0	189	173	1468	1471	1681	422	0
CEP162	456.352941	139	0	0	0	0	0	0	0	1706	0	0	0	126	1471	1666	2100	550	0
C16orf91	453.941176	231	0	124	0	200	0	0	0	1149	689	188	530	255	1178	1070	1460	643	0
CCDC59	451.823529	391	107	383	0	206	0	0	0	1015	704	172	617	371	942	785	1659	329	0
POLR3F	451.411765	262	168	282	0	369	0	0	0	805	1173	231	1058	177	1200	714	1114	121	0
DZANK1	451.411765	262	168	282	0	369	0	0	0	805	1173	231	1058	177	1200	714	1114	121	0
TBC1D30	451.000000	99	0	97	0	334	0	0	0	1667	102	0	0	214	1199	1556	1742	657	0
RBM15B	450.529412	0	0	151	0	160	0	0	0	1489	500	121	482	201	1315	1286	1538	416	0
GNS	449.352941	99	0	97	0	306	0	0	0	1667	102	0	0	214	1199	1556	1742	657	0
CDKL3	449.235294	194	0	157	0	268	0	0	208	1381	828	0	406	296	1056	1153	1319	371	0
DVL2	447.000000	313	0	0	0	74	0	0	0	1738	292	0	0	264	1289	1757	1531	341	0
DNPH1	446.823529	0	0	456	0	524	0	0	0	1606	264	0	0	216	1458	1127	1509	436	0
UBE2B	446.764706	152	0	157	0	268	0	0	208	1381	828	0	406	296	1056	1153	1319	371	0
DNAJC19	445.411765	109	196	413	0	346	0	0	0	695	828	253	686	407	1494	731	977	437	0
FDXR	443.352941	170	0	0	0	328	0	0	0	1364	645	0	571	114	1223	1284	1426	412	0
ZBTB40	441.588235	0	0	0	0	427	0	116	0	1587	117	0	96	395	913	1343	1646	867	0
NOP9	440.647059	0	0	176	0	370	0	0	0	891	626	0	495	183	1362	1112	1639	637	0
DHRS1	440.647059	0	0	176	0	370	0	0	0	891	626	0	495	183	1362	1112	1639	637	0
SHPK	440.352941	164	0	0	0	190	0	0	0	1868	141	0	0	0	1442	1627	1848	206	0
CTNS	440.352941	164	0	0	0	190	0	0	0	1868	141	0	0	0	1442	1627	1848	206	0
TSFM	438.470588	710	0	361	0	174	0	205	307	354	737	0	1254	832	448	671	1401	0	0
DHDDS	438.411765	138	0	185	0	521	0	0	0	887	888	130	640	433	643	751	1420	817	0
AFF4	438.411765	0	0	0	0	381	0	0	0	1582	258	0	137	193	1287	1392	1764	459	0
ZNF507	436.941176	199	0	148	0	466	0	0	0	1331	0	0	0	139	1245	1509	1816	575	0
THAP4	436.000000	0	0	0	0	251	0	0	0	465	1046	241	930	250	1100	744	1874	511	0
ATG4B	436.000000	0	0	0	0	251	0	0	0	465	1046	241	930	250	1100	744	1874	511	0
PURB	435.529412	114	0	345	0	386	0	138	147	852	1054	131	723	202	695	485	1652	480	0
LZTFL1	435.294118	169	0	230	0	384	0	515	0	1469	366	0	405	507	845	1186	1152	172	0
NRAS	433.941176	0	0	218	0	282	0	0	0	1182	679	172	588	162	962	868	1860	404	0
MTRNR2L8	433.823529	1127	360	377	308	410	0	0	0	591	415	588	213	989	457	495	635	410	0
TIMM44	433.470588	0	0	672	0	231	0	779	230	248	1129	0	1060	767	482	487	1134	150	0
GTPBP10	433.117647	247	0	128	0	200	0	0	0	1009	598	125	704	338	858	779	1681	696	0
HOXB9	432.941176	0	0	487	0	539	0	0	551	0	1562	0	1641	1326	0	0	1254	0	0
CLPTM1L	432.647059	0	0	0	0	148	0	0	0	1125	543	169	736	225	1216	876	1718	599	0
NPTN	429.647059	0	0	0	0	409	0	0	0	1423	663	0	146	204	958	1368	1737	396	0
TSC2	429.176471	0	0	0	0	297	0	0	0	1706	168	0	125	136	1307	1438	1842	277	0
NTHL1	429.176471	0	0	0	0	297	0	0	0	1706	168	0	125	136	1307	1438	1842	277	0
ILF3	427.470588	394	0	96	0	364	0	0	0	1538	264	0	167	302	1073	1269	1359	441	0
CHMP1B	427.176471	159	178	370	0	203	0	0	0	876	802	162	703	302	783	670	1520	534	0
NDC80	426.647059	0	0	0	0	212	0	0	0	599	871	230	727	308	688	1095	1827	696	0
METTL4	426.647059	0	0	0	0	212	0	0	0	599	871	230	727	308	688	1095	1827	696	0
CCDC9	426.411765	74	0	267	0	272	0	338	217	800	1079	0	1130	632	401	407	1221	411	0
WDR75	426.058824	126	0	183	0	335	0	0	0	970	818	0	729	152	1038	1162	1576	154	0
WWP2	425.117647	0	0	0	0	280	0	0	0	1875	0	0	0	0	1401	1643	1644	384	0
RCBTB1	421.882353	0	0	0	0	367	0	0	0	1775	0	0	0	59	1460	1382	1842	287	0
H4C8	421.764706	2006	0	467	0	0	0	153	644	0	530	0	269	1754	0	0	1347	0	0
LANCL2	420.647059	96	0	208	0	409	0	0	0	615	773	189	876	155	702	988	1622	518	0
MFN2	420.470588	0	0	290	0	332	0	0	139	494	1061	231	978	303	449	748	1520	603	0
NCOA5	419.117647	0	130	159	0	469	0	0	0	973	929	332	455	173	1537	818	920	230	0
ULBP1	418.058824	0	0	657	0	126	0	687	0	0	1357	0	1558	997	0	799	926	0	0
PWP1	417.882353	228	0	112	0	257	0	0	0	1089	613	0	519	266	945	1018	1560	497	0
WDR74	417.235294	1069	0	144	0	344	0	0	0	748	461	130	423	800	628	563	1282	501	0
MYNN	416.647059	2161	0	111	0	261	0	0	974	0	340	0	127	1342	0	0	1767	0	0
COMMD4	416.000000	404	0	0	0	177	0	0	0	1461	0	0	0	361	1331	1283	1788	267	0
PLD3	415.705882	200	0	70	0	434	0	127	0	1417	354	0	184	194	1076	1294	1429	288	0
C19orf47	415.705882	200	0	70	0	434	0	127	0	1417	354	0	184	194	1076	1294	1429	288	0
TPP1	415.470588	142	0	0	0	0	0	0	0	1611	225	0	171	229	1170	1563	1787	165	0
AOPEP	414.764706	110	0	437	0	324	0	145	0	795	1075	0	511	314	629	680	1438	593	0
ANKRD12	414.352941	0	0	94	0	513	0	0	0	1417	148	0	0	235	1034	1434	1592	577	0
UBN1	413.764706	0	0	91	0	475	0	0	0	1135	453	0	121	83	1034	1474	1560	608	0
GLYR1	413.764706	0	0	91	0	475	0	0	0	1135	453	0	121	83	1034	1474	1560	608	0
LRRC37A3	412.647059	366	146	568	0	766	0	0	0	1187	208	0	154	342	744	1116	1065	353	0
ZNF367	412.294118	0	0	309	0	292	0	0	0	1268	599	0	321	204	1044	1121	1479	372	0
NOLC1	412.235294	190	0	103	0	187	0	0	0	730	955	228	1122	473	554	735	1327	404	0
CHAC1	411.529412	0	93	708	0	334	0	692	285	0	1275	0	1487	1088	0	652	382	0	0
HPS1	411.294118	0	0	0	0	180	0	0	0	1830	188	0	168	182	1373	1048	1853	170	0
WDR81	410.411765	0	0	0	0	273	0	0	0	1776	245	0	162	0	1270	1419	1638	194	0
NPHP1	408.941176	0	73	183	0	349	0	0	0	876	603	0	529	300	976	850	1620	593	0
CLEC16A	408.882353	0	0	119	0	338	0	0	0	1497	195	0	138	122	1810	1154	1252	326	0
SLC36A1	408.588235	163	0	128	0	446	0	0	0	1738	0	0	0	273	785	1435	1386	592	0
PDCD6IP	407.588235	208	0	230	0	713	0	0	0	1170	228	0	0	373	999	907	1510	591	0
ANGEL1	407.588235	234	0	0	0	402	0	0	0	1429	205	0	0	385	1204	1239	1546	285	0
KANSL1L	404.176471	0	0	0	0	415	0	409	97	900	771	0	1002	444	967	730	1136	0	0
MAGOH	403.529412	96	0	207	0	243	0	0	0	693	685	249	506	463	570	780	1506	862	0
SYNRG	402.294118	227	0	157	0	458	0	139	0	1355	125	0	0	194	995	1104	1569	516	0
HSPA6	402.235294	2196	0	128	0	367	0	0	500	0	0	0	0	1926	0	0	1721	0	0
LTA4H	401.882353	2158	0	79	0	203	0	0	636	0	0	0	0	1846	0	115	1795	0	0
HSPE1-MOB4	400.411765	322	389	1224	0	364	0	0	0	1226	183	0	0	309	1172	637	806	175	0
HSPE1	400.411765	322	389	1224	0	364	0	0	0	1226	183	0	0	309	1172	637	806	175	0
HSPD1	400.411765	322	389	1224	0	364	0	0	0	1226	183	0	0	309	1172	637	806	175	0
FAM174C	400.411765	0	0	0	0	170	0	0	0	1518	310	0	113	96	1109	1586	1368	537	0
MRPL4	399.764706	0	72	264	0	250	0	0	0	695	960	156	533	212	907	709	1608	430	0
MRPS18C	399.588235	295	0	222	0	235	0	0	0	1424	137	0	0	489	1000	1120	1643	228	0
HELQ	399.588235	295	0	222	0	235	0	0	0	1424	137	0	0	489	1000	1120	1643	228	0
COPS8	398.764706	270	0	146	0	509	0	0	0	664	616	197	583	279	1074	816	1368	257	0
EFTUD2	398.235294	180	92	259	0	221	0	0	0	833	618	189	558	231	877	681	1573	458	0
CCDC103	398.235294	180	92	259	0	221	0	0	0	833	618	189	558	231	877	681	1573	458	0
