Target_genes	MYBL2|Average	SRX4680620|A-673	SRX14963950|A549	SRX14963951|A549	SRX040562|HeLa	SRX040563|HeLa	SRX10478355|Hep_G2	SRX10478356|Hep_G2	SRX190332|Hep_G2	SRX734308|HMEC	SRX3322026|K-562	SRX3322027|K-562	SRX5242427|LNCAP	SRX5242428|LNCAP	SRX5242429|LNCAP	SRX5242430|LNCAP	SRX4213900|MCF_10A	SRX4213901|MCF_10A	STRING
KIF2C	572.235294	554	0	0	0	0	1738	2146	632	0	2283	1990	0	0	0	0	0	385	0
KIF23	571.705882	334	232	283	0	0	1922	2057	624	82	1398	2144	0	0	0	0	80	563	0
H2BC4	560.941176	413	0	0	290	0	1108	1454	1066	0	2504	1939	0	0	0	0	98	664	0
H2AC6	560.941176	413	0	0	290	0	1108	1454	1066	0	2504	1939	0	0	0	0	98	664	0
TGIF1	558.529412	167	83	0	0	0	1355	1775	589	0	2326	2068	0	0	0	0	128	1004	0
MDC1	557.235294	115	234	197	0	0	1464	1437	858	63	2418	2059	0	0	0	0	0	628	0
CDK1	556.882353	458	165	0	0	0	1569	1928	721	0	2198	2003	0	0	0	0	0	425	0
INCENP	554.941176	460	105	195	107	0	1460	1849	602	0	2164	2074	0	0	0	0	0	418	0
MZT1	554.470588	316	137	0	0	0	1581	1941	918	0	1550	2594	0	0	0	0	0	389	0
BORA	554.470588	316	137	0	0	0	1581	1941	918	0	1550	2594	0	0	0	0	0	389	0
NCAPD2	552.176471	267	258	229	0	0	1424	1742	768	115	1511	1619	0	0	0	0	166	1288	0
MRPL51	552.176471	267	258	229	0	0	1424	1742	768	115	1511	1619	0	0	0	0	166	1288	0
KIAA0895	551.235294	591	111	220	0	0	1650	1709	740	0	1750	1658	0	0	0	0	168	774	0
ANLN	551.235294	591	111	220	0	0	1650	1709	740	0	1750	1658	0	0	0	0	168	774	0
TMPO	549.705882	216	130	217	205	0	1445	1769	708	0	2553	2102	0	0	0	0	0	0	0
CKS2	546.764706	288	166	145	0	0	1446	1703	820	0	1480	1827	0	0	0	0	181	1239	0
KIF18B	543.647059	258	162	255	0	0	1944	1951	830	0	1640	1917	0	0	0	0	0	285	0
STIL	542.647059	329	0	0	0	0	1255	1702	828	0	2506	1900	0	0	0	0	0	705	0
FAM200B	541.764706	1473	0	0	0	0	1725	1988	691	95	1062	1561	0	0	0	0	0	615	0
CENPA	539.117647	471	71	0	0	0	1667	1771	930	0	1938	1912	71	0	0	0	85	249	0
H2AZ2	538.000000	382	188	142	0	0	1479	1746	683	0	1764	1655	0	0	0	0	100	1007	0
SLC25A40	534.294118	316	266	202	0	0	1623	1724	755	118	905	1556	0	0	0	0	271	1347	0
DBF4	534.294118	316	266	202	0	0	1623	1724	755	118	905	1556	0	0	0	0	271	1347	0
DARS2	529.529412	532	0	0	0	0	1679	1815	721	0	1797	1881	0	0	0	0	92	485	0
CENPL	529.529412	532	0	0	0	0	1679	1815	721	0	1797	1881	0	0	0	0	92	485	0
KPNA2	527.647059	507	210	145	0	0	1408	1657	690	129	1985	1987	0	0	0	0	0	252	0
MXD3	527.529412	129	137	146	0	0	1921	2023	696	0	1661	1999	0	0	0	0	0	256	0
NCAPG	516.823529	1327	0	0	0	0	1585	1964	777	0	1257	1435	0	0	0	0	0	441	0
AURKB	514.411765	600	161	193	0	0	1530	1774	605	0	1703	1967	0	0	0	0	0	212	0
H2BC17	508.941176	362	0	0	0	0	1479	1662	675	0	2371	1760	0	0	0	0	0	343	0
ATL2	500.647059	244	0	0	0	0	1263	1605	604	0	1910	1995	0	0	0	0	162	728	0
RNF26	500.000000	174	0	0	220	0	1495	1988	612	0	2006	1919	0	0	0	0	0	86	0
RBM15	499.058824	1143	0	0	234	0	1127	1349	710	0	1914	1594	0	0	0	0	0	413	0
OIP5	495.352941	463	72	0	0	0	1197	1517	598	0	2294	2019	0	0	0	0	0	261	0
NUSAP1	495.352941	463	72	0	0	0	1197	1517	598	0	2294	2019	0	0	0	0	0	261	0
CENPE	494.882353	251	86	95	0	0	1712	1902	764	84	1345	1465	0	0	0	0	122	587	0
CDK5RAP2	492.882353	302	104	118	83	0	1272	1756	943	0	1818	1682	0	0	0	0	0	301	0
ARL6IP1	492.352941	536	0	0	0	0	1592	1654	818	0	1443	1793	0	0	0	0	180	354	0
FZR1	491.588235	694	0	0	0	0	1860	2412	542	0	1087	1330	0	0	0	0	0	432	0
NUCKS1	489.647059	333	0	0	0	0	1387	1861	373	0	2056	1829	0	0	0	0	0	485	0
RANGAP1	487.823529	426	153	0	0	0	1013	1571	580	133	1487	1635	0	0	0	0	184	1111	0
PTTG1	484.882353	195	0	0	0	0	1446	1825	344	0	1590	1718	0	0	0	0	165	960	0
FAM83D	483.235294	391	222	154	0	0	1351	1668	661	72	1562	1541	0	0	0	0	0	593	0
MKI67	482.470588	82	208	348	0	0	1803	1939	656	0	1145	1695	0	0	0	0	0	326	0
POC5	481.352941	381	0	0	125	0	1227	1641	444	0	1743	2072	0	0	0	0	99	451	0
C2orf69	480.470588	145	0	0	0	0	1443	1838	857	0	1559	1662	0	0	0	0	0	664	0
TUBA1C	478.235294	385	204	181	0	0	1345	1446	673	0	1622	2094	0	0	0	0	0	180	0
GPSM2	478.058824	155	0	0	0	0	1588	2070	413	0	1786	1835	0	0	0	0	0	280	0
HNRNPA2B1	477.705882	351	102	0	0	0	1358	1590	557	107	1277	1492	0	0	0	0	178	1109	0
CBX3	477.705882	351	102	0	0	0	1358	1590	557	107	1277	1492	0	0	0	0	178	1109	0
PIAS1	475.058824	74	103	0	0	0	2223	2298	1053	0	921	1404	0	0	0	0	0	0	0
MAZ	473.588235	245	157	169	0	0	1563	1792	1046	0	1011	1337	0	0	0	0	0	731	0
H2AX	470.117647	574	0	0	97	0	1564	1819	738	0	1457	1556	0	0	0	0	0	187	0
CDKN3	466.941176	184	0	0	0	0	1653	2116	407	0	1569	1763	0	0	0	0	0	246	0
DEPDC1B	466.823529	363	138	163	0	0	1667	1830	695	0	993	1610	0	0	0	0	0	477	0
ANP32E	460.588235	228	0	194	141	0	1267	1663	407	0	2054	1876	0	0	0	0	0	0	0
HJURP	458.764706	272	114	0	0	0	1473	1727	624	0	1601	1592	0	0	0	0	0	396	0
SRRT	457.470588	1089	0	0	0	0	1375	1828	570	0	889	1453	0	0	0	0	235	338	0
H3C2	457.235294	805	0	0	204	0	1181	1560	708	0	1496	1403	0	0	0	0	78	338	0
KIF20A	455.058824	262	0	0	131	0	1475	1684	510	90	1689	1433	0	0	0	0	0	462	0
BRD8	455.058824	262	0	0	131	0	1475	1684	510	90	1689	1433	0	0	0	0	0	462	0
BUB3	454.529412	382	0	0	0	0	1206	1599	709	0	1399	1663	0	0	0	0	0	769	0
REXO5	453.705882	489	0	0	0	0	1404	1764	657	0	1623	1689	0	0	0	0	0	87	0
ERI2	453.705882	489	0	0	0	0	1404	1764	657	0	1623	1689	0	0	0	0	0	87	0
TRIM59	449.705882	0	257	206	0	0	310	670	120	113	2963	2630	0	0	0	0	0	376	0
ZNF221	449.411765	310	0	0	116	0	1620	2098	672	0	1235	1263	0	0	0	0	0	326	0
KIF11	443.647059	273	183	0	0	172	1492	1773	577	0	1251	1540	0	0	0	0	0	281	0
MTRF1L	443.176471	196	0	0	0	0	1393	2070	849	0	1024	1447	0	0	0	0	82	473	0
UBALD2	441.470588	109	0	0	0	0	1129	1583	528	0	2278	1700	0	0	0	0	0	178	0
LMNB1	441.411765	193	156	132	0	0	926	1495	485	110	1649	1478	0	0	0	0	143	737	0
C1orf109	439.882353	348	0	0	0	0	986	1397	323	0	2005	2021	0	0	0	0	0	398	0
ZNF165	438.058824	193	0	0	137	0	944	1425	471	0	2046	1931	0	0	0	0	0	300	0
CENPC	434.235294	334	0	0	0	0	1335	1908	610	0	1134	1583	0	0	0	0	0	478	0
NUDCD2	431.529412	172	148	227	191	0	1063	1383	557	0	1391	1478	0	0	0	0	150	576	0
HMMR	431.529412	172	148	227	191	0	1063	1383	557	0	1391	1478	0	0	0	0	150	576	0
SHC1	430.647059	396	0	0	0	0	967	1432	223	0	2144	2159	0	0	0	0	0	0	0
CKS1B	430.647059	396	0	0	0	0	967	1432	223	0	2144	2159	0	0	0	0	0	0	0
CDCA8	430.588235	190	0	0	0	0	986	1397	323	0	2005	2021	0	0	0	0	0	398	0
TUBA1B	430.411765	539	0	0	0	0	1519	1835	652	0	911	1457	0	0	0	0	0	404	0
NCAPH	428.588235	306	93	0	0	0	1485	1833	551	0	1098	1447	0	0	0	0	0	473	0
ARHGAP11A-SCG5	427.294118	266	92	197	0	0	1039	1360	452	0	1711	1811	0	0	0	0	0	336	0
ARHGAP11A	427.294118	266	92	197	0	0	1039	1360	452	0	1711	1811	0	0	0	0	0	336	0
GTSE1	426.647059	562	0	0	0	0	1898	2163	648	0	552	1214	0	0	0	0	0	216	0
CCNB2	423.882353	260	0	0	0	0	1361	1603	353	0	1397	1755	0	0	0	0	108	369	0
HP1BP3	423.764706	169	0	0	0	0	1434	1838	289	0	1205	1666	0	0	0	0	0	603	0
SAC3D1	422.823529	242	0	0	0	0	1763	2271	571	0	691	1650	0	0	0	0	0	0	0
FAM72C	422.764706	230	0	0	0	0	1046	1493	354	91	1963	1701	0	0	0	0	0	309	0
SPAG5	422.235294	254	0	0	0	0	1208	1537	399	0	1831	1631	0	0	0	0	109	209	0
CDC27	421.117647	279	180	0	0	0	1318	1733	491	0	1158	1401	0	0	0	0	84	515	0
TICRR	421.058824	248	0	0	0	0	1198	1662	627	0	1606	1639	0	0	0	0	0	178	0
HYLS1	420.235294	129	277	317	0	0	718	1184	418	89	971	1488	0	0	0	0	167	1386	0
SRGAP2B	418.588235	230	0	0	0	0	1012	1493	317	91	1963	1701	0	0	0	0	0	309	0
FAM72D	418.588235	230	0	0	0	0	1012	1493	317	91	1963	1701	0	0	0	0	0	309	0
FBXO5	418.411765	177	0	0	0	0	1245	1621	558	0	1769	1498	0	0	0	0	0	245	0
KNSTRN	410.941176	307	0	0	0	0	1535	2155	625	0	1100	998	0	0	0	0	0	266	0
RAD21	410.529412	138	0	0	0	0	1764	2257	648	0	732	1208	0	0	0	0	0	232	0
PCNT	410.176471	329	0	0	0	0	1569	1830	425	0	1124	1462	0	0	0	0	0	234	0
C21orf58	410.176471	329	0	0	0	0	1569	1830	425	0	1124	1462	0	0	0	0	0	234	0
SRGAP2C	409.647059	210	0	0	0	0	1012	1461	368	0	1936	1624	0	0	0	0	0	353	0
FAM72B	409.647059	210	0	0	0	0	1012	1461	368	0	1936	1624	0	0	0	0	0	353	0
SMPD4	402.764706	181	0	0	0	0	1796	2016	617	0	791	1123	0	0	0	0	0	323	0
MZT2B	402.764706	181	0	0	0	0	1796	2016	617	0	791	1123	0	0	0	0	0	323	0
DLGAP5	400.529412	299	0	0	0	0	1204	1686	565	0	1394	1429	0	0	0	0	0	232	0
SFPQ	399.647059	400	0	0	132	0	968	1557	475	0	1654	1321	0	0	0	0	84	203	0
PDZD11	398.588235	0	80	0	0	0	1338	1818	513	0	1197	1563	0	0	0	0	0	267	0
KIF4A	398.588235	0	80	0	0	0	1338	1818	513	0	1197	1563	0	0	0	0	0	267	0
SRGAP2	398.352941	188	0	0	0	0	911	1362	402	0	1923	1624	0	0	0	0	0	362	0
FAM72A	398.352941	188	0	0	0	0	911	1362	402	0	1923	1624	0	0	0	0	0	362	0
MSH5	393.058824	128	0	0	0	0	1428	1548	581	0	1581	1337	0	0	0	0	0	79	0
CDC25C	391.470588	283	0	312	0	0	1239	1764	511	0	1075	1189	0	0	0	0	0	282	0
CEP295	389.411765	265	0	0	0	0	1509	1841	761	0	572	1089	0	0	0	0	0	583	0
C12orf65	387.235294	512	0	0	0	0	1298	1629	633	0	929	1315	0	0	0	0	0	267	0
NEK2	386.705882	600	0	0	0	0	943	1447	424	0	1278	1184	0	0	0	0	99	599	0
TK1	385.117647	425	0	0	0	0	1139	1650	568	0	1168	1597	0	0	0	0	0	0	0
MIS18BP1	384.882353	311	0	0	0	0	1224	1733	589	0	1021	1241	0	0	0	0	0	424	0
TOMM70	381.352941	249	93	159	0	0	945	1454	610	0	1203	1402	0	0	0	0	0	368	0
LNP1	381.352941	249	93	159	0	0	945	1454	610	0	1203	1402	0	0	0	0	0	368	0
SKA2	378.235294	133	0	0	0	0	956	1248	597	0	1832	1525	0	0	0	0	0	139	0
PRR11	378.235294	133	0	0	0	0	956	1248	597	0	1832	1525	0	0	0	0	0	139	0
NPAS4	375.882353	0	0	0	0	0	2419	2780	1191	0	0	0	0	0	0	0	0	0	0
ATAD2	374.823529	354	0	82	0	0	1092	1654	399	0	1059	1569	0	0	0	0	0	163	0
ARMC1	374.000000	259	0	0	0	0	979	1378	660	0	1552	1530	0	0	0	0	0	0	0
TTK	373.352941	285	0	0	0	0	1055	1723	459	0	1285	1457	0	0	0	0	0	83	0
ARHGAP19	372.294118	234	0	0	0	0	1241	1630	473	0	1407	1135	0	0	0	0	0	209	0
PGAP2	372.176471	333	0	0	0	0	934	1489	376	0	1357	1637	0	0	0	0	0	201	0
H2BC11	372.117647	538	0	0	96	0	695	1144	207	0	1598	1425	0	0	0	0	93	530	0
H2AC11	372.117647	538	0	0	96	0	695	1144	207	0	1598	1425	0	0	0	0	93	530	0
KIF22	371.176471	194	0	0	0	0	1388	1603	457	0	1041	1421	0	0	0	0	0	206	0
MTRNR2L2	368.764706	0	191	0	575	0	1046	1114	1173	0	0	0	186	236	232	303	543	670	0
SNIP1	366.411765	461	0	0	0	0	949	1547	358	0	1387	1527	0	0	0	0	0	0	0
CIT	365.470588	318	0	0	97	0	962	1341	334	0	1425	1736	0	0	0	0	0	0	0
LUC7L2	364.882353	741	0	0	0	0	731	1539	969	0	801	1254	0	0	0	0	0	168	0
HSCB	363.588235	304	0	0	0	0	1140	1542	353	0	1198	1494	0	0	0	0	0	150	0
CHEK2	363.588235	304	0	0	0	0	1140	1542	353	0	1198	1494	0	0	0	0	0	150	0
ATR	363.529412	504	0	0	0	0	904	1373	553	0	954	1463	0	0	0	0	0	429	0
PTGES3	362.117647	415	0	0	0	0	930	1352	571	0	1382	1230	0	0	0	0	0	276	0
ZMYM1	361.294118	409	0	0	0	0	1061	1504	316	0	1142	1499	0	0	0	0	0	211	0
SKA3	361.117647	1338	0	0	0	0	1385	1728	307	0	371	1010	0	0	0	0	0	0	0
MRPL57	361.117647	1338	0	0	0	0	1385	1728	307	0	371	1010	0	0	0	0	0	0	0
JPT1	361.000000	610	0	0	0	0	1270	1780	418	0	1025	1034	0	0	0	0	0	0	0
METTL15	359.235294	238	0	0	0	0	1198	1649	428	0	1004	1328	0	0	0	0	0	262	0
KIF18A	359.235294	238	0	0	0	0	1198	1649	428	0	1004	1328	0	0	0	0	0	262	0
SMC3	359.117647	290	0	119	0	0	1572	1876	717	0	561	970	0	0	0	0	0	0	0
ESPL1	358.000000	611	0	0	0	0	1154	1833	378	0	808	1302	0	0	0	0	0	0	0
ZCWPW1	353.176471	623	0	0	0	0	640	1202	329	0	1484	1335	0	0	0	0	0	391	0
MEPCE	353.176471	623	0	0	0	0	640	1202	329	0	1484	1335	0	0	0	0	0	391	0
CCNG2	351.176471	265	0	0	0	0	820	1177	434	0	1454	1820	0	0	0	0	0	0	0
CUL3	350.588235	161	0	0	0	0	960	1300	661	0	977	1594	0	0	0	0	0	307	0
IQGAP3	350.117647	555	0	0	0	0	1447	1685	473	0	617	1000	0	0	0	0	0	175	0
FBXO8	349.823529	209	0	0	0	0	727	1230	392	0	1345	1626	0	0	0	0	0	418	0
CEP44	349.823529	209	0	0	0	0	727	1230	392	0	1345	1626	0	0	0	0	0	418	0
KIF14	348.823529	144	0	0	0	0	1017	1456	297	0	1272	1459	0	0	0	0	0	285	0
UBE2C	348.588235	496	280	259	106	0	1582	1746	687	111	0	0	0	0	0	0	96	563	0
NUP35	347.823529	209	0	0	0	0	1331	1645	722	0	897	968	0	0	0	0	0	141	0
PNRC2	346.941176	195	0	0	0	0	1070	1389	284	0	1120	1248	0	0	0	0	152	440	0
DUS3L	344.352941	421	0	0	114	0	1301	1725	408	0	681	955	0	0	0	0	0	249	0
CKAP2	340.000000	184	61	0	0	0	1068	1417	433	0	1068	1299	0	0	0	0	0	250	0
E2F8	339.058824	138	134	120	0	0	1319	1606	281	0	889	1117	0	0	0	0	0	160	0
CDCA4	338.764706	174	284	429	0	0	1341	1659	526	93	183	500	0	0	0	0	0	570	0
TMEM129	337.470588	0	111	0	0	0	1341	1659	232	0	740	1264	0	0	0	0	0	390	0
TACC3	337.470588	0	111	0	0	0	1341	1659	232	0	740	1264	0	0	0	0	0	390	0
KMT5A	334.882353	111	0	0	0	0	787	1170	295	0	1610	1529	0	0	0	0	0	191	0
CDK19	333.352941	260	0	0	114	0	870	1389	476	0	1231	1327	0	0	0	0	0	0	0
RFC3	326.235294	780	0	0	0	0	1187	1722	404	0	478	755	0	0	0	0	0	220	0
UBAP2	325.352941	316	0	0	0	0	1411	1850	515	0	415	769	0	0	0	0	0	255	0
ING3	324.470588	542	0	0	0	0	701	1501	229	0	1167	1183	0	0	0	0	0	193	0
IPO11	324.352941	315	0	0	0	0	1072	1411	470	0	743	1503	0	0	0	0	0	0	0
CEP70	323.941176	0	0	0	0	0	1315	1789	578	0	453	787	0	0	0	0	99	486	0
EXOSC6	323.294118	559	0	0	0	0	1255	1770	596	0	295	189	0	0	0	0	212	620	0
HMGN2	323.235294	237	106	0	0	0	1368	1592	447	0	431	1147	0	0	0	0	79	88	0
PTRHD1	322.117647	492	0	0	0	0	1163	1558	684	0	481	945	0	0	0	0	0	153	0
CENPO	322.117647	492	0	0	0	0	1163	1558	684	0	481	945	0	0	0	0	0	153	0
SPC24	320.705882	314	0	0	0	0	1380	1749	378	0	570	1061	0	0	0	0	0	0	0
MTRNR2L8	317.000000	0	0	0	598	0	855	986	1116	199	0	0	226	255	232	227	382	313	0
H2BC15	316.352941	387	0	0	73	0	988	1201	688	0	974	803	0	0	0	0	74	190	0
H2AC15	316.352941	387	0	0	73	0	988	1201	688	0	974	803	0	0	0	0	74	190	0
NEIL3	316.294118	382	0	0	0	0	1288	1887	303	0	549	968	0	0	0	0	0	0	0
XPO5	316.117647	193	0	0	0	0	1299	1695	712	0	502	571	0	0	0	0	0	402	0
POLH	316.117647	193	0	0	0	0	1299	1695	712	0	502	571	0	0	0	0	0	402	0
VTA1	313.941176	215	0	0	0	0	1102	1618	844	0	608	950	0	0	0	0	0	0	0
NMBR	313.941176	215	0	0	0	0	1102	1618	844	0	608	950	0	0	0	0	0	0	0
AKIRIN2	309.941176	370	0	0	0	0	1113	1528	373	0	908	716	0	0	0	0	0	261	0
SRSF10	309.529412	742	0	0	0	0	1068	1550	489	0	482	702	0	0	0	0	0	229	0
CCDC146	308.705882	557	0	0	0	0	1051	1608	419	0	578	715	0	0	0	0	207	113	0
SLC7A11	307.294118	199	0	0	0	0	682	1333	512	0	1434	1064	0	0	0	0	0	0	0
COX8A	306.529412	309	0	0	0	0	1254	1592	311	0	855	890	0	0	0	0	0	0	0
WDR62	305.117647	190	0	0	0	0	753	1317	202	0	985	1549	0	0	0	0	0	191	0
THAP8	305.117647	190	0	0	0	0	753	1317	202	0	985	1549	0	0	0	0	0	191	0
H4C12	304.647059	1356	0	0	0	0	710	558	1522	0	182	373	0	0	0	0	181	297	0
FOXM1	303.705882	254	187	126	0	0	1449	1611	386	0	415	522	0	0	0	0	0	213	459
RHNO1	303.705882	254	187	126	0	0	1449	1611	386	0	415	522	0	0	0	0	0	213	0
ASPM	303.117647	144	0	0	0	0	798	1218	293	0	1265	1262	0	0	0	0	0	173	0
HASPIN	301.647059	997	0	0	0	0	1011	1694	351	0	308	767	0	0	0	0	0	0	0
GAS2L3	299.352941	116	0	0	0	0	1355	1779	451	0	375	583	0	0	0	0	0	430	0
PIF1	298.823529	308	0	0	99	0	695	1188	423	0	1188	1097	0	0	0	0	0	82	0
CENPN	297.529412	383	0	189	0	0	950	1332	359	0	774	1071	0	0	0	0	0	0	0
ZFP91	296.529412	721	0	0	0	0	633	1180	372	0	746	1264	0	0	0	0	0	125	0
LPXN	296.529412	721	0	0	0	0	633	1180	372	0	746	1264	0	0	0	0	0	125	0
TIMM10	295.176471	125	0	0	0	0	1112	1892	590	0	633	465	0	0	0	0	0	201	0
H4C11	293.470588	1414	0	0	0	0	423	645	1458	0	200	250	0	0	0	0	236	363	0
MED7	293.235294	187	0	0	0	0	726	1071	368	0	1666	967	0	0	0	0	0	0	0
TUBB4B	293.176471	737	0	0	0	0	758	934	176	0	1258	1121	0	0	0	0	0	0	0
MTFR2	292.705882	281	0	0	0	0	902	1397	411	0	668	888	0	0	0	0	220	209	0
DCAF7	292.117647	282	0	0	0	0	909	1255	359	0	858	888	0	0	0	0	62	353	0
TYMSOS	291.470588	201	0	0	0	0	1194	1509	443	0	727	881	0	0	0	0	0	0	0
TYMS	291.470588	201	0	0	0	0	1194	1509	443	0	727	881	0	0	0	0	0	0	0
PRRC2A	288.764706	175	0	0	0	0	800	1477	395	0	828	1234	0	0	0	0	0	0	0
CEP192	288.352941	382	0	0	0	0	824	1515	303	0	548	975	0	0	0	0	113	242	0
IER5	288.058824	693	0	0	0	0	535	1152	212	0	1048	976	0	0	0	0	0	281	0
LOC112694756	287.588235	321	0	0	0	0	1461	1909	351	0	296	551	0	0	0	0	0	0	0
EIF4E	287.352941	138	0	0	0	0	550	1056	508	0	1270	1103	0	0	0	0	0	260	0
MAD2L1BP	287.235294	641	0	0	168	0	834	1375	400	0	734	731	0	0	0	0	0	0	0
GTPBP2	287.235294	641	0	0	168	0	834	1375	400	0	734	731	0	0	0	0	0	0	0
CEP152	287.117647	256	0	0	0	0	1002	1528	311	0	623	1161	0	0	0	0	0	0	0
MAD2L1	286.941176	317	0	0	0	0	1055	1297	343	0	535	1187	0	0	0	0	0	144	0
ZBED9	286.470588	0	0	0	0	0	126	284	166	0	2053	2241	0	0	0	0	0	0	0
NUMA1	286.058824	319	0	0	0	0	924	1829	432	0	584	663	0	0	0	0	0	112	0
LRTOMT	286.058824	319	0	0	0	0	924	1829	432	0	584	663	0	0	0	0	0	112	0
ATF7IP	284.647059	340	155	175	0	0	0	161	238	0	1174	1209	0	0	0	0	260	1127	0
MMACHC	281.352941	1086	0	0	90	0	915	1326	468	0	389	509	0	0	0	0	0	0	0
CCDC163	281.352941	1086	0	0	90	0	915	1326	468	0	389	509	0	0	0	0	0	0	0
APOLD1	280.058824	221	0	0	0	0	1317	1615	368	0	432	602	0	0	0	0	0	206	0
H3C15	279.882353	554	0	0	0	0	958	1388	245	0	726	585	0	0	0	0	98	204	0
H3C14	279.882353	554	0	0	0	0	958	1388	245	0	726	585	0	0	0	0	98	204	0
SNX5	278.411765	495	0	0	0	0	1403	1514	506	0	249	566	0	0	0	0	0	0	0
MGME1	278.411765	495	0	0	0	0	1403	1514	506	0	249	566	0	0	0	0	0	0	0
PSRC1	277.764706	199	0	0	0	0	873	1225	283	0	864	1018	0	0	0	0	0	260	0
