Target_genes	KLF4|Average	SRX130062|BJ	SRX5360641|BJ	SRX5360642|BJ	SRX5360649|BJ	SRX5360650|BJ	SRX5360661|BJ	SRX5360662|BJ	SRX2732458|Glioblastoma	SRX2732459|Glioblastoma	SRX2732460|Glioblastoma	SRX5763015|HAP1	SRX011573|hESC_H1	SRX3288568|hESC_H9	SRX3288569|hESC_H9	SRX5763013|hESC_WIBR3	SRX1813594|iPS_cells	SRX1813595|iPS_cells	SRX512371|iPS_cells	SRX543181|Keratinocytes	SRX194578|MCF-7	SRX1813588|MRC-5	SRX1813589|MRC-5	SRX1813590|MRC-5	SRX1813591|MRC-5	SRX1813592|MRC-5	SRX1813593|MRC-5	SRX2732212|MRC-5	SRX2732213|MRC-5	SRX1389376|PDAC	STRING
TXNDC11	100.482759	245	0	0	411	418	542	0	0	0	0	121	0	0	0	0	0	0	132	766	132	0	0	0	0	0	0	0	0	147	0
SPACA9	99.793103	0	0	0	341	443	140	0	0	0	119	177	0	0	0	0	0	0	174	1027	366	0	0	0	0	0	0	0	0	107	0
AK8	99.793103	0	0	0	341	443	140	0	0	0	119	177	0	0	0	0	0	0	174	1027	366	0	0	0	0	0	0	0	0	107	0
MLH1	98.482759	169	0	0	0	129	146	0	0	0	152	0	0	378	294	0	0	0	243	722	195	0	0	0	0	0	0	0	0	428	0
EPM2AIP1	98.482759	169	0	0	0	129	146	0	0	0	152	0	0	378	294	0	0	0	243	722	195	0	0	0	0	0	0	0	0	428	0
ZNF274	97.793103	155	0	0	402	366	469	0	0	0	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	394	0
TRABD	97.275862	172	137	0	357	547	530	160	0	0	0	139	0	0	0	0	0	0	120	177	0	0	0	0	0	0	0	0	0	482	0
FUT1	96.793103	91	0	0	360	482	716	110	0	0	0	122	0	0	0	0	0	0	0	240	281	0	0	0	0	0	0	0	0	405	0
HDAC4	96.275862	0	0	0	138	231	201	0	0	0	0	149	0	197	165	0	0	0	91	532	417	0	0	0	0	0	0	0	0	671	0
CLTC	96.275862	149	0	0	324	304	468	98	0	0	0	173	0	0	0	0	0	0	0	363	471	0	0	0	0	0	0	0	0	442	0
PSMD9	96.034483	102	0	0	389	406	574	114	0	0	0	105	0	112	149	0	0	0	0	302	142	0	0	0	0	0	0	0	0	390	0
HPD	96.034483	102	0	0	389	406	574	114	0	0	0	105	0	112	149	0	0	0	0	302	142	0	0	0	0	0	0	0	0	390	0
PRKAB2	95.896552	0	0	0	410	342	489	0	0	0	183	127	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	0	380	0
CHD1L	95.896552	0	0	0	410	342	489	0	0	0	183	127	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	0	380	0
ZMPSTE24	95.517241	115	0	0	530	497	601	170	0	0	113	97	0	0	106	0	0	0	0	270	0	0	0	0	0	0	0	0	0	271	0
ERLIN2	95.517241	275	0	0	372	446	449	131	0	0	103	182	0	0	157	0	0	0	0	335	0	0	0	0	0	0	0	0	0	320	0
CPPED1	94.413793	0	0	0	271	334	449	0	0	0	0	0	0	0	94	0	0	0	113	443	196	0	0	0	0	0	0	0	0	838	0
ATRIP	92.344828	0	0	0	315	378	417	166	0	0	115	110	0	122	153	0	0	0	0	902	0	0	0	0	0	0	0	0	0	0	0
UBA6	91.965517	132	138	0	226	281	330	0	0	0	0	0	0	198	0	0	0	0	175	737	158	0	0	0	0	0	0	0	0	292	0
STMP1	91.862069	0	0	0	433	635	601	114	0	0	146	126	0	0	0	0	0	0	0	277	131	0	0	0	0	0	0	0	0	201	0
RBSN	91.172414	122	0	0	271	299	580	116	0	0	81	263	0	99	128	0	0	0	0	499	186	0	0	0	0	0	0	0	0	0	0
TMBIM1	90.551724	134	0	0	262	213	227	0	0	0	303	226	0	154	276	0	0	0	203	275	0	0	0	0	0	0	0	0	0	353	0
CTNNB1	89.931034	0	123	0	301	648	442	0	0	0	0	121	0	0	173	0	0	0	64	492	244	0	0	0	0	0	0	0	0	0	0
CRBN	89.379310	0	0	0	320	335	286	0	0	0	0	199	0	208	132	0	0	0	285	421	167	0	0	0	0	0	0	0	0	239	0
ZNF860	89.172414	145	0	0	361	427	511	92	0	0	0	130	0	0	0	0	0	0	0	456	158	0	0	0	0	0	0	0	0	306	0
OSBPL10	89.172414	145	0	0	361	427	511	92	0	0	0	130	0	0	0	0	0	0	0	456	158	0	0	0	0	0	0	0	0	306	0
GMFB	89.172414	0	0	0	293	432	376	91	0	0	0	173	0	145	0	0	0	0	0	582	117	0	0	0	0	0	0	0	0	377	0
DCLK1	89.034483	162	0	0	275	399	534	81	0	0	0	84	0	316	475	0	0	0	103	0	0	0	0	0	0	0	0	0	0	153	0
EFEMP2	89.000000	329	0	0	440	492	896	87	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	189	0
NBPF1	88.275862	0	0	0	389	466	512	153	0	0	0	90	0	0	0	0	0	0	0	412	191	0	0	0	0	0	0	0	0	347	0
PPP1R14B	87.965517	0	0	0	159	261	276	107	0	0	0	79	0	158	0	0	0	0	0	1068	167	0	0	0	0	0	0	0	0	276	0
PRDX1	87.655172	0	0	0	393	481	648	133	0	0	60	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	305	0
SELENOW	87.517241	113	0	0	262	266	310	0	0	0	79	509	0	0	0	0	0	0	75	332	208	0	0	0	0	0	0	0	0	384	0
OSBPL2	87.448276	151	0	0	237	262	351	0	0	0	0	0	0	0	0	0	0	0	0	560	626	0	0	0	0	0	0	0	0	349	0
MYORG	87.172414	176	0	0	654	534	586	260	0	0	0	92	0	0	0	0	0	0	0	139	87	0	0	0	0	0	0	0	0	0	0
MRPL44	86.724138	231	0	0	412	478	719	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	0	0	0	0	100	0
CCNT2	86.620690	107	0	0	339	401	625	113	0	0	0	0	0	124	0	0	0	0	152	356	118	0	0	0	0	0	0	0	0	177	0
MECR	86.482759	296	0	0	349	401	565	101	0	0	0	0	0	125	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	193	0
PDCD6IP	86.241379	135	0	0	341	480	698	0	0	0	0	0	0	0	0	0	0	0	123	413	0	0	0	0	0	0	0	0	0	311	0
HIBCH	86.137931	109	0	0	317	476	537	97	0	0	0	147	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	232	0
ATXN1L	85.965517	101	0	0	313	403	423	0	0	0	0	140	0	0	0	0	0	0	0	706	119	0	0	0	0	0	0	0	0	288	0
METTL2A	85.689655	0	0	0	195	311	230	0	0	0	0	141	0	147	0	0	0	0	142	262	532	0	0	0	0	0	0	0	0	525	0
RNASEH1	85.586207	162	0	0	286	346	769	146	0	0	0	84	0	0	0	0	0	0	0	417	0	0	0	0	0	0	0	0	0	272	0
TNFRSF19	85.482759	87	0	0	327	531	621	116	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	0	0	105	0
NDRG1	85.482759	188	0	0	166	306	288	98	0	0	0	75	0	0	84	0	0	0	0	660	185	0	0	0	0	0	0	0	0	429	0
WDR43	85.172414	114	0	0	257	431	434	0	0	0	0	88	0	121	0	0	0	0	0	522	142	0	0	0	0	0	0	0	0	361	0
C10orf143	85.068966	136	0	0	268	371	367	0	0	0	0	166	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	770	0
ELF1	84.275862	0	0	0	193	199	335	0	0	0	126	0	0	0	0	0	0	0	0	912	171	0	0	0	0	0	0	0	0	508	0
PPP3CB	84.137931	212	0	0	206	550	754	0	0	0	0	98	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	222	0
LDHD	84.137931	0	0	0	199	297	160	0	0	0	183	0	0	187	213	0	0	0	128	208	342	0	0	0	0	0	0	0	0	523	0
POLI	84.103448	126	0	0	254	432	688	0	0	0	0	248	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	199	0
DKKL1	83.862069	375	0	0	215	291	320	115	0	0	0	112	0	0	0	0	0	0	0	885	0	0	0	0	0	0	0	0	0	119	0
TAMM41	83.620690	156	0	0	506	468	657	170	0	0	0	173	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	182	0
LAMA3	83.448276	155	0	0	182	242	451	126	0	0	0	0	0	0	0	0	0	0	0	1109	0	0	0	0	0	0	0	0	0	155	0
SPA17	83.172414	232	0	0	385	461	948	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	165	0
SIAE	83.172414	232	0	0	385	461	948	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	165	0
JUP	82.827586	0	0	0	188	236	360	0	0	0	0	112	0	0	151	0	0	0	98	606	240	0	0	0	0	0	0	0	0	411	0
FAM83A	81.655172	0	0	0	101	216	344	93	0	0	0	0	0	0	0	0	0	0	0	661	421	0	0	0	0	0	0	0	0	532	0
RTN4	81.206897	100	0	0	257	291	313	0	0	0	0	0	0	298	388	0	0	0	106	315	0	0	0	0	0	0	0	0	0	287	0
LRP10	81.206897	186	0	0	265	349	785	114	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	0	0	0	0	0	344	0
PRMT2	81.103448	190	0	0	199	373	394	0	0	0	0	91	0	0	0	0	0	0	0	211	100	0	0	0	0	0	0	0	0	794	0
GSN	80.689655	95	0	0	179	249	237	0	0	0	0	111	0	102	396	0	0	0	146	176	0	0	0	0	0	0	0	0	0	649	0
AFF4	80.344828	0	0	0	240	335	536	0	0	0	87	0	0	0	91	0	0	0	0	616	0	0	0	0	0	0	0	0	0	425	0
AP2B1	80.172414	155	0	0	493	439	403	0	0	0	0	149	0	0	104	0	0	0	0	173	0	0	0	0	0	0	0	0	0	409	0
TRIP13	80.103448	0	0	0	230	387	0	0	0	0	153	116	0	0	0	0	0	0	0	915	311	0	0	0	0	0	0	0	0	211	0
RNF14	80.103448	0	0	0	312	508	615	0	0	0	0	0	0	0	0	0	0	0	0	485	0	0	0	0	0	0	0	0	0	403	0
BRD9	80.103448	0	0	0	230	387	0	0	0	0	153	116	0	0	0	0	0	0	0	915	311	0	0	0	0	0	0	0	0	211	0
RNF187	79.862069	0	0	0	394	528	645	0	0	0	102	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	336	0
TAP1	79.758621	154	0	0	232	338	407	100	0	0	0	153	0	0	0	0	0	0	0	533	188	0	0	0	0	0	0	0	0	208	0
PSMB9	79.758621	154	0	0	232	338	407	100	0	0	0	153	0	0	0	0	0	0	0	533	188	0	0	0	0	0	0	0	0	208	0
PPP2R5B	79.379310	0	0	0	153	115	229	0	0	0	79	0	0	294	275	0	0	0	120	286	155	0	0	0	0	0	0	0	0	596	0
DCAF10	79.344828	0	0	0	361	558	630	0	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1L2	78.724138	131	0	0	309	394	261	0	0	0	0	309	0	0	0	0	0	0	0	525	149	0	0	0	0	0	0	0	0	205	0
DTD1	78.586207	254	0	0	238	421	470	96	0	0	0	295	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	224	0
CRCP	78.379310	520	0	0	314	372	255	0	0	0	179	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0
NHP2	78.137931	226	0	0	331	439	485	0	0	0	0	70	0	0	0	0	0	0	0	434	130	0	0	0	0	0	0	0	0	151	0
POLA1	77.551724	0	0	0	175	200	399	0	0	0	0	322	0	102	0	0	0	0	236	604	0	0	0	0	0	0	0	0	0	211	0
ARL6IP1	77.068966	0	0	0	240	419	408	0	0	0	136	107	0	0	0	0	0	0	0	568	144	0	0	0	0	0	0	0	0	213	0
NUDT16	77.000000	0	0	0	272	282	539	0	0	0	0	0	0	0	0	0	0	0	0	306	222	0	0	0	0	0	0	0	0	612	0
MTLN	76.896552	0	0	0	327	216	478	0	0	0	207	0	0	127	139	0	0	0	0	460	0	0	0	0	0	0	0	0	0	276	0
ZBTB37	76.793103	0	0	0	259	406	374	0	0	0	0	0	0	0	126	0	0	0	214	0	0	0	0	0	0	0	0	0	0	848	0
SCAPER	76.793103	150	0	0	272	360	464	0	0	0	0	209	0	0	0	0	0	0	0	209	108	0	0	0	0	0	0	0	0	455	0
MRPS31	76.586207	189	0	0	275	412	496	104	0	0	0	152	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	185	0
SPAG9	76.482759	111	0	0	98	216	227	108	0	0	0	0	0	0	0	0	0	0	0	722	188	0	0	0	0	0	0	0	0	548	0
VCPKMT	76.241379	0	0	0	302	411	444	0	0	0	0	130	0	0	0	0	0	0	0	643	0	0	0	0	0	0	0	0	0	281	0
ZMYM6	76.068966	188	0	0	210	509	451	163	0	0	0	66	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	476	0
HUS1	75.724138	118	0	0	249	450	538	135	0	0	0	0	0	0	0	0	0	0	0	419	120	0	0	0	0	0	0	0	0	167	0
CLPB	75.689655	85	0	0	123	259	330	0	0	0	0	0	0	212	242	0	0	0	0	312	0	0	0	0	0	0	0	0	0	632	0
FBXW7	75.655172	95	0	0	312	275	436	0	0	0	0	0	0	0	0	0	0	0	0	535	195	0	0	0	0	0	0	0	0	346	0
C1orf226	75.620690	0	0	0	113	244	361	162	0	0	0	0	0	0	0	0	0	0	0	840	0	0	0	0	0	0	0	0	0	473	0
RASA3	75.517241	144	0	0	319	421	643	133	0	0	109	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0
BAIAP2	75.310345	117	0	0	228	385	387	0	0	0	0	226	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	443	0
SEMA4B	75.241379	143	0	0	370	385	563	116	0	0	0	0	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	172	0
FMN1	75.103448	120	0	0	221	106	374	0	0	0	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0	0	737	0
TTC4	75.034483	0	0	0	391	367	430	0	0	0	0	222	0	0	0	0	0	0	0	583	0	0	0	0	0	0	0	0	0	183	0
VRK2	75.000000	0	0	0	350	496	621	0	0	0	0	0	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	179	0
PIK3R1	74.551724	0	0	0	360	396	367	170	0	0	0	84	0	0	0	0	0	0	0	475	154	0	0	0	0	0	0	0	0	156	0
GATAD2A	74.517241	149	166	0	186	322	347	113	0	0	88	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	410	0
SYBU	74.206897	0	0	0	231	323	416	131	0	0	0	110	0	0	0	0	0	0	0	539	170	0	0	0	0	0	0	0	0	232	0
MED20	74.172414	0	0	0	189	489	388	0	0	0	0	116	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	275	0
BYSL	74.172414	0	0	0	189	489	388	0	0	0	0	116	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	275	0
AVPI1	74.172414	0	0	0	416	377	218	107	0	0	116	114	0	102	234	0	0	0	0	324	143	0	0	0	0	0	0	0	0	0	0
DHDDS	74.137931	136	0	0	303	402	413	0	0	0	0	0	0	0	98	0	0	0	97	575	0	0	0	0	0	0	0	0	0	126	0
GXYLT1	74.000000	91	0	0	325	499	279	0	0	0	0	0	0	0	0	0	0	0	0	741	211	0	0	0	0	0	0	0	0	0	0
SNRPE	73.862069	0	0	0	239	346	251	0	0	0	0	144	0	159	180	0	0	0	0	823	0	0	0	0	0	0	0	0	0	0	0
CUL7	73.827586	137	0	0	252	406	591	0	0	0	0	138	0	85	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	284	0
ANKRD36B	73.724138	0	0	0	192	422	275	0	0	0	0	185	0	0	0	0	0	0	0	559	242	0	0	0	0	0	0	0	0	263	0
HNRNPUL1	73.551724	0	0	0	181	320	306	0	0	0	100	219	0	0	0	0	0	0	110	734	0	0	0	0	0	0	0	0	0	163	0
ISG20	73.413793	0	0	0	218	267	219	0	0	0	0	0	0	0	0	0	0	0	0	220	450	0	0	0	0	0	0	0	0	755	0
LTA4H	73.344828	135	0	0	162	132	138	0	0	0	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	0	0	0	0	0	220	0
BRPF1	73.310345	141	0	0	331	338	547	0	0	0	0	191	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	171	0
IQCH	73.206897	135	0	0	244	295	403	0	0	0	0	321	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	98	0
AAGAB	73.206897	135	0	0	244	295	403	0	0	0	0	321	0	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	98	0
CNPPD1	73.034483	0	0	0	180	326	231	0	0	0	0	0	0	0	103	0	0	0	0	483	189	0	0	0	0	0	0	0	0	606	0
SNAPC3	72.965517	0	0	0	322	396	424	0	0	0	0	0	0	128	162	0	0	0	71	243	182	0	0	0	0	0	0	0	0	188	0
PARP2	72.931034	0	0	0	185	281	409	0	0	0	0	83	0	142	154	0	0	0	0	382	113	0	0	0	0	0	0	0	0	366	0
ZNF581	72.724138	237	0	0	403	310	436	0	0	0	166	0	0	0	0	0	0	0	0	444	0	0	0	0	0	0	0	0	0	113	0
