Target_genes	HMGB2|Average	SRX2765965|HUVEC	SRX1993515|IMR-90	SRX1993516|IMR-90	SRX2765967|Lung_fibroblasts	SRX2765968|Lung_fibroblasts	STRING
ANAPC7	498.000000	1237	0	0	752	501	0
SART3	492.800000	967	0	0	841	656	0
ISCU	492.800000	967	0	0	841	656	0
RPS23	487.600000	894	0	0	816	728	0
ATP6AP1L	487.600000	894	0	0	816	728	0
BAG6	486.800000	808	0	0	881	745	0
AP3M1	483.400000	1062	0	0	900	455	0
ADK	483.400000	1062	0	0	900	455	0
RPS27A	474.000000	1049	0	0	817	504	0
CLHC1	474.000000	1049	0	0	817	504	0
STK36	449.600000	525	0	0	930	793	0
RNF25	449.600000	525	0	0	930	793	0
XPNPEP3	446.000000	1028	0	0	529	673	0
ST13	446.000000	1028	0	0	529	673	0
SELENOF	440.400000	841	0	0	772	589	0
HS2ST1	440.400000	841	0	0	772	589	0
RABL2A	439.800000	782	0	0	1095	322	0
DPH6	433.200000	885	0	0	691	590	0
NDUFA10	405.800000	844	0	0	791	394	0
OSGEP	401.000000	931	0	0	670	404	0
APEX1	401.000000	931	0	0	670	404	0
EIF2S3	399.800000	563	0	0	945	491	0
PDHX	391.400000	1063	0	0	480	414	0
APIP	391.400000	1063	0	0	480	414	0
KMT2A	389.400000	991	0	0	527	429	0
ARHGAP11A-SCG5	388.600000	766	0	0	711	466	0
ARHGAP11A	388.600000	766	0	0	711	466	0
PSMD12	386.000000	816	0	0	699	415	0
TAF9	375.600000	703	0	0	460	715	0
RAD17	375.600000	703	0	0	460	715	0
AK6	375.600000	703	0	0	460	715	0
TMPPE	366.400000	648	0	0	500	684	0
GLB1	366.400000	648	0	0	500	684	0
ZNF383	365.400000	627	0	0	574	626	0
RPS29	361.800000	757	0	0	365	687	0
LRR1	361.800000	757	0	0	365	687	0
PIN4	354.400000	847	0	0	679	246	0
GOLGA5	349.400000	782	0	0	641	324	0
FAM104A	333.600000	618	0	0	682	368	0
C17orf80	333.600000	618	0	0	682	368	0
RABGGTB	330.800000	697	0	0	594	363	0
PAXBP1	326.800000	157	0	0	629	848	0
OAZ3	320.200000	664	0	0	488	449	0
MRPL9	320.200000	664	0	0	488	449	0
POLR2E	315.400000	421	0	0	752	404	0
GORAB	312.200000	690	0	0	425	446	0
RXYLT1	310.400000	603	0	0	407	542	0
MRTO4	310.200000	548	0	0	387	616	0
EMC1	310.200000	548	0	0	387	616	0
RBKS	303.200000	504	0	0	481	531	0
BABAM2	303.200000	504	0	0	481	531	0
YJU2	289.400000	104	0	0	610	733	0
SF3B3	278.800000	772	0	0	344	278	0
COG4	278.800000	772	0	0	344	278	0
CDC73	274.600000	427	0	0	587	359	0
NCLN	273.800000	600	0	0	487	282	0
PAF1	263.200000	659	0	0	336	321	0
PCBD2	250.800000	521	0	0	355	378	0
PTGES2	247.200000	299	0	0	481	456	0
SEC11C	239.200000	762	0	0	258	176	0
HSPE1-MOB4	238.600000	557	0	0	458	178	0
HSPE1	238.600000	557	0	0	458	178	0
HSPD1	238.600000	557	0	0	458	178	0
ELMOD1	238.400000	109	0	0	431	652	0
METTL3	216.800000	506	0	0	428	150	0
VPS50	211.400000	463	0	0	273	321	0
HEPACAM2	211.400000	463	0	0	273	321	0
ITGB3BP	200.000000	500	0	0	259	241	0
EFCAB7	200.000000	500	0	0	259	241	0
RPL7	191.800000	448	0	0	268	243	0
RDH10	191.800000	448	0	0	268	243	0
UBE2I	189.200000	946	0	0	0	0	0
RPGRIP1L	174.600000	658	0	0	215	0	0
FTO	174.600000	658	0	0	215	0	0
PHIP	173.800000	607	0	0	136	126	0
C7orf25	173.000000	318	0	0	355	192	0
SRSF11	169.000000	445	0	0	157	243	0
LRRC40	169.000000	445	0	0	157	243	0
ZNF76	168.000000	507	0	0	177	156	0
AXDND1	158.400000	439	0	0	156	197	0
ATR	157.800000	461	0	0	188	140	0
NSA2	155.600000	349	0	0	270	159	0
GFM2	155.600000	349	0	0	270	159	0
CNPY2	153.400000	342	0	0	245	180	0
SPCS1	152.200000	354	0	0	194	213	0
GLT8D1	152.200000	354	0	0	194	213	0
VCPIP1	149.800000	503	0	0	172	74	0
C8orf44-SGK3	149.800000	503	0	0	172	74	0
DTWD2	148.000000	432	0	0	128	180	0
PRCC	147.800000	272	0	0	365	102	0
USP31	147.400000	318	0	0	293	126	0
ALKBH5	146.400000	393	0	0	203	136	0
NRDE2	145.600000	411	0	0	142	175	0
DEDD	143.200000	362	0	0	245	109	0
NOTCH2NLC	143.000000	429	0	0	286	0	0
TCHP	142.800000	258	0	0	267	189	0
DARS2	142.600000	395	0	0	212	106	0
CENPL	142.600000	395	0	0	212	106	0
C6orf226	142.200000	377	0	0	161	173	0
CCDC88A	141.000000	437	0	0	171	97	0
CCDC59	139.800000	375	0	0	220	104	0
NBN	139.200000	404	0	0	164	128	0
ANKLE2	139.000000	695	0	0	0	0	0
NBPF1	137.800000	359	0	0	245	85	0
EIF3E	136.800000	428	0	0	126	130	0
FAM98B	136.400000	463	0	0	95	124	0
SLC39A10	134.400000	261	0	0	253	158	0
ZNF397	132.400000	284	0	0	179	199	0
TTC21B	132.400000	347	0	0	173	142	0
NOTCH2	132.000000	287	0	0	229	144	0
KDM3A	131.800000	460	0	0	199	0	0
MED23	130.400000	276	0	0	209	167	0
PPIP5K2	127.200000	301	0	0	158	177	0
GIN1	127.200000	301	0	0	158	177	0
SOX6	122.200000	374	0	0	153	84	0
MAP3K12	122.200000	0	0	0	278	333	0
C11orf58	122.200000	374	0	0	153	84	0
GBA	121.800000	272	0	0	337	0	0
FEM1A	120.200000	415	0	0	186	0	0
FLOT1	119.600000	92	290	0	216	0	0
MTBP	119.000000	472	0	0	0	123	0
MRPL13	119.000000	472	0	0	0	123	0
STX6	118.600000	196	0	0	397	0	0
GTF2H4	118.600000	296	0	0	174	123	0
EIF4A2	118.000000	501	0	0	89	0	0
TSNAXIP1	117.400000	330	0	0	257	0	0
RANBP10	117.400000	330	0	0	257	0	0
ZCWPW1	117.000000	211	0	0	140	234	0
NDUFS4	117.000000	322	0	0	131	132	0
MEPCE	117.000000	211	0	0	140	234	0
TANK	116.000000	312	0	0	102	166	0
INTS12	116.000000	327	0	0	152	101	0
GSTCD	116.000000	327	0	0	152	101	0
NAT10	115.800000	304	0	0	173	102	0
EMC2	115.600000	474	0	0	104	0	0
WDR11	115.000000	350	0	0	116	109	0
WDR36	114.000000	325	0	0	119	126	0
RPL5	113.600000	284	0	0	200	84	0
NOTCH2NLA	113.400000	278	0	0	104	185	0
MMADHC	112.400000	372	0	0	91	99	0
DDX59	110.800000	291	0	0	179	84	0
POLR2J3	110.600000	238	0	0	210	105	0
SUPT3H	107.600000	276	0	0	162	100	0
CBWD5	107.400000	369	0	0	168	0	0
SMIM10L1	107.200000	381	0	0	155	0	0
PRH1-TAS2R14	107.200000	381	0	0	155	0	0
NUF2	107.000000	341	0	0	123	71	0
ANKRD36C	107.000000	209	0	0	171	155	0
WDPCP	106.800000	322	0	0	212	0	0
NOTCH2NLB	106.800000	200	0	0	219	115	0
MDH1	106.800000	322	0	0	212	0	0
GATB	106.400000	427	0	0	105	0	0
PDCD6IP	106.000000	316	0	0	101	113	0
CHD8	105.800000	264	0	0	167	98	0
IFTAP	105.600000	231	0	0	297	0	0
POLG2	105.200000	398	0	0	128	0	0
SSBP1	105.000000	315	0	0	80	130	0
TRIQK	104.800000	361	0	0	163	0	0
SNX16	104.800000	232	0	0	193	99	0
TMEM267	103.600000	281	0	0	114	123	0
TBC1D19	103.000000	273	0	0	110	132	0
SENP1	103.000000	292	0	0	96	127	0
PFKM	103.000000	292	0	0	96	127	0
LMAN2	102.800000	233	0	0	0	281	0
ZCWPW2	102.200000	284	0	0	122	105	0
AZI2	102.200000	284	0	0	122	105	0
CHMP3	102.000000	281	0	0	115	114	0
ZMPSTE24	101.800000	235	0	0	95	179	0
SREK1IP1	101.800000	307	0	0	86	116	0
CWC27	101.800000	307	0	0	86	116	0
HBP1	101.600000	255	0	0	253	0	0
SUGCT	101.200000	268	0	0	92	146	0
MPLKIP	101.200000	268	0	0	92	146	0
NUP54	100.400000	372	0	0	130	0	0
RNF146	100.000000	253	0	0	106	141	0
USP47	99.400000	275	0	0	110	112	0
STK17A	98.800000	175	0	0	193	126	0
TTC33	98.400000	271	0	0	120	101	0
RBM7	98.000000	374	0	0	116	0	0
C11orf71	98.000000	374	0	0	116	0	0
SECISBP2L	97.800000	293	0	0	78	118	0
HNRNPA2B1	97.600000	345	0	0	143	0	0
CBX3	97.600000	345	0	0	143	0	0
MNAT1	97.400000	343	0	0	144	0	0
TRA2B	97.200000	486	0	0	0	0	0
MTHFD2L	97.200000	324	0	0	162	0	0
GLRX2	97.000000	310	0	0	112	63	0
DERL1	97.000000	355	0	0	130	0	0
PTCD3	96.600000	360	0	0	123	0	0
POLR1A	96.600000	360	0	0	123	0	0
PEMT	96.200000	238	0	0	127	116	0
VPS13B	96.000000	202	0	0	144	134	0
STX18	96.000000	228	0	0	141	111	0
DHX15	95.800000	209	0	0	151	119	0
ZNF484	95.600000	329	0	0	149	0	0
USPL1	95.000000	219	0	0	164	92	0
HMGB1	95.000000	219	0	0	164	92	0
KLHL20	94.600000	337	0	0	136	0	0
INTS9	94.400000	328	0	0	144	0	0
HMBOX1	94.400000	328	0	0	144	0	0
HSPA13	93.800000	343	0	0	126	0	0
RAB28	93.600000	274	0	0	101	93	0
PCMTD1	93.600000	319	0	0	149	0	0
LUC7L2	93.600000	232	0	0	157	79	0
C8orf37	93.600000	295	0	0	100	73	0
RBIS	93.200000	346	0	0	120	0	0
ATL1	93.000000	230	0	0	121	114	0
FAM3C	92.800000	207	0	0	137	120	0
NDUFS7	92.600000	260	0	0	203	0	0
COX18	92.400000	275	0	0	187	0	0
CBLB	92.200000	244	0	0	107	110	0
THYN1	92.000000	286	0	0	174	0	0
FMC1-LUC7L2	92.000000	224	0	0	157	79	0
FMC1	92.000000	224	0	0	157	79	0
ACAD8	92.000000	286	0	0	174	0	0
METTL14	91.800000	327	0	0	132	0	0
DCT	91.600000	178	0	0	120	160	0
BAZ2B	91.600000	305	0	0	153	0	0
ZDHHC6	91.400000	322	0	0	135	0	0
VTI1A	91.400000	322	0	0	135	0	0
SELENOT	91.400000	326	0	0	131	0	0
FBXO48	91.400000	319	0	0	138	0	0
APLF	91.400000	319	0	0	138	0	0
UTP3	91.000000	187	0	0	165	103	0
GCFC2	90.000000	246	0	0	113	91	0
ZC3H6	89.400000	279	0	0	168	0	0
SUPT7L	89.400000	285	0	0	162	0	0
SLC4A1AP	89.400000	285	0	0	162	0	0
RBM45	89.400000	235	0	0	212	0	0
BET1	89.400000	368	0	0	79	0	0
UGGT2	89.200000	317	0	0	129	0	0
SYPL1	89.200000	178	0	0	114	154	0
NELFA	89.000000	319	0	0	126	0	0
RSRP1	88.800000	164	0	0	111	169	0
JRKL	88.800000	283	0	0	94	67	0
CSDE1	88.800000	272	0	0	83	89	0
CCDC82	88.800000	283	0	0	94	67	0
SMARCAL1	88.600000	285	0	0	158	0	0
PAFAH2	88.600000	259	0	0	184	0	0
LDHB	88.200000	223	0	0	117	101	0
RAD51AP2	88.000000	208	0	0	232	0	0
CBWD3	88.000000	272	0	0	168	0	0
DNAH2	87.600000	199	0	0	239	0	0
CBWD2	87.600000	208	0	0	94	136	0
ZC3H15	87.400000	293	0	0	144	0	0
SCYL3	87.400000	324	0	0	113	0	0
EXOSC3	87.400000	229	0	0	99	109	0
GORASP2	87.200000	185	0	0	124	127	0
THAP6	86.800000	325	0	0	109	0	0
KATNAL2	86.800000	274	0	0	160	0	0
CHMP7	86.800000	310	0	0	124	0	0
RPL9	86.400000	298	0	0	0	134	0
NFE2L2	86.400000	326	0	0	106	0	0
LIAS	86.400000	298	0	0	0	134	0
AGBL3	86.400000	268	0	0	86	78	0
MTERF1	86.200000	193	0	0	131	107	0
FER	86.200000	246	0	0	99	86	0
THAP10	86.000000	311	0	0	119	0	0
OPA1	86.000000	198	0	0	100	132	0
LRRC49	86.000000	311	0	0	119	0	0
C2orf69	86.000000	313	0	0	117	0	0
GOLGB1	85.800000	303	0	0	126	0	0
EBAG9	85.800000	297	0	0	132	0	0
DYNC1I2	85.800000	296	0	0	133	0	0
TPR	85.600000	251	0	0	177	0	0
ODR4	85.600000	251	0	0	177	0	0
MRPL44	85.600000	332	0	0	96	0	0
EIF2D	85.600000	279	0	0	149	0	0
DPP8	85.600000	181	0	0	134	113	0
PIH1D2	85.400000	268	0	0	159	0	0
NKAPD1	85.400000	268	0	0	159	0	0
TAF1D	85.000000	316	0	0	109	0	0
MINDY3	85.000000	342	0	0	83	0	0
C11orf54	85.000000	316	0	0	109	0	0
UCHL5	84.800000	237	0	0	95	92	0
RO60	84.800000	237	0	0	95	92	0
FNTB	84.800000	424	0	0	0	0	0
SPATA17	84.600000	286	0	0	137	0	0
GPATCH2	84.600000	286	0	0	137	0	0
GADD45GIP1	84.600000	142	0	0	143	138	0
DKK1	84.600000	297	0	0	126	0	0
CENPC	84.600000	280	0	0	143	0	0
MTMR9	84.000000	344	0	0	76	0	0
SERPINI1	83.800000	293	0	0	126	0	0
PDCD10	83.800000	293	0	0	126	0	0
LARS1	83.800000	299	0	0	120	0	0
ZNF35	83.600000	301	0	0	117	0	0
SRSF7	83.600000	305	0	0	113	0	0
RNLS	83.600000	308	0	0	110	0	0
RIC8B	83.600000	232	0	0	186	0	0
ZNF518A	83.400000	325	0	0	0	92	0
SVIP	83.400000	336	0	0	81	0	0
RNPC3	83.400000	280	0	0	137	0	0
IFRD1	83.400000	417	0	0	0	0	0
DDX1	83.400000	165	0	0	144	108	0
KBTBD7	83.200000	205	0	0	102	109	0
GLIPR1L2	83.200000	303	0	0	113	0	0
DPH5	83.200000	243	0	0	84	89	0
H2BC18	82.800000	206	0	0	92	116	0
FAM162A	82.800000	218	0	0	196	0	0
CCDC58	82.800000	218	0	0	196	0	0
USP53	82.600000	302	0	0	111	0	0
DPYD	82.600000	306	0	0	107	0	0
SNAPC5	82.200000	285	0	0	126	0	0
PPP2R2A	82.200000	186	0	0	105	120	0
DBR1	82.200000	186	0	0	116	109	0
VPS37A	82.000000	214	0	0	196	0	0
VIPAS39	82.000000	230	0	0	180	0	0
GSTA4	82.000000	299	0	0	0	111	0
CNOT7	82.000000	214	0	0	196	0	0
C1orf53	82.000000	314	0	0	96	0	0
AHSA1	82.000000	230	0	0	180	0	0
SKAP2	81.600000	239	0	0	169	0	0
CCNI	81.600000	408	0	0	0	0	0
KRR1	81.400000	276	0	0	131	0	0
UQCRB	81.200000	309	0	0	97	0	0
NREP	81.200000	221	0	0	94	91	0
JMJD1C	81.200000	198	0	0	117	91	0
ZMYM4	81.000000	289	0	0	0	116	0
AURKAIP1	81.000000	92	0	0	172	141	0
ELMOD2	80.800000	314	0	0	90	0	0
C3orf14	80.800000	307	0	0	97	0	0
ITPRID2	80.600000	235	0	0	168	0	0
WDHD1	80.400000	322	0	0	80	0	0
SOCS4	80.400000	322	0	0	80	0	0
ACADM	80.400000	182	0	0	90	130	0
STX17	80.200000	164	0	0	122	115	0
PPIG	80.200000	247	0	0	154	0	0
GDAP1	80.200000	260	0	0	141	0	0
HBS1L	80.000000	240	0	0	160	0	0
NDUFAF4	79.800000	264	0	0	135	0	0
KLHL32	79.800000	264	0	0	135	0	0
HINT3	79.800000	282	0	0	117	0	0
CALM2	79.800000	293	0	0	0	106	0
YTHDC1	79.600000	232	0	0	166	0	0
CRH	79.600000	262	0	0	136	0	0
FRA10AC1	79.400000	239	0	0	0	158	0
CBWD6	79.400000	229	0	0	168	0	0
TFAM	79.200000	285	0	0	111	0	0
RAB29	79.200000	269	0	0	127	0	0
HERC4	79.200000	237	0	0	159	0	0
ARL6IP1	79.200000	396	0	0	0	0	0
SEC62	79.000000	200	0	0	106	89	0
PNISR	79.000000	275	0	0	120	0	0
ORC4	79.000000	270	0	0	125	0	0
MBD5	79.000000	270	0	0	125	0	0
GOT2	79.000000	212	0	0	79	104	0
CENPBD1	79.000000	192	0	0	203	0	0
CDK8	79.000000	239	0	0	75	81	0
TMEM242	78.800000	266	0	0	128	0	0
DMTF1	78.800000	274	0	0	120	0	0
CALHM5	78.600000	259	0	0	134	0	0
STRADA	78.400000	276	0	0	0	116	0
ST7	78.400000	269	0	0	123	0	0
LSM8	78.400000	290	0	0	102	0	0
HLCS	78.400000	228	0	0	164	0	0
MTF2	78.200000	195	0	0	98	98	0
C12orf66	78.200000	268	0	0	123	0	0
XRN2	78.000000	269	0	0	121	0	0
TOR1AIP1	78.000000	216	0	0	91	83	0
SPRED1	78.000000	277	0	0	113	0	0
SCOC	78.000000	261	0	0	0	129	0
TMEM41A	77.800000	223	0	0	166	0	0
STXBP4	77.800000	272	0	0	117	0	0
SNX12	77.800000	218	0	0	171	0	0
RPL34	77.800000	272	0	0	117	0	0
COX11	77.800000	272	0	0	117	0	0
NUDT3	77.600000	202	0	0	186	0	0
IQCB1	77.600000	270	0	0	118	0	0
ING3	77.600000	237	0	0	151	0	0
H1-2	77.600000	254	0	0	0	134	0
EAF2	77.600000	270	0	0	118	0	0
CCNC	77.600000	205	0	0	183	0	0
FUS	77.400000	221	0	0	166	0	0
DTD2	77.400000	267	0	0	0	120	0
CLUAP1	77.400000	191	0	0	89	107	0
SLC25A21	77.200000	212	0	0	99	75	0
SCLT1	77.200000	231	0	0	155	0	0
PSMA1	77.200000	276	0	0	110	0	0
COMMD2	77.200000	286	0	0	100	0	0
C4orf33	77.200000	231	0	0	155	0	0
TYW3	77.000000	385	0	0	0	0	0
SLF1	77.000000	297	0	0	88	0	0
RPL22L1	77.000000	385	0	0	0	0	0
RDH14	77.000000	179	0	0	105	101	0
RAB11FIP2	77.000000	196	0	0	100	89	0
MET	77.000000	186	0	0	111	88	0
KIAA0825	77.000000	297	0	0	88	0	0
EHD3	77.000000	168	0	0	217	0	0
CRYZ	77.000000	385	0	0	0	0	0
CMTM6	77.000000	268	0	0	117	0	0
CAPN14	77.000000	168	0	0	217	0	0
TEFM	76.800000	187	0	0	95	102	0
SLFN12	76.800000	253	0	0	131	0	0
ZSCAN12	76.600000	167	0	0	113	103	0
ZFP64	76.600000	256	0	0	127	0	0
TNPO1	76.600000	272	0	0	111	0	0
MCM9	76.600000	235	0	0	148	0	0
IFRD2	76.600000	236	0	0	147	0	0
FBXO8	76.600000	273	0	0	110	0	0
CEP70	76.600000	245	0	0	138	0	0
CEP44	76.600000	273	0	0	110	0	0
WRN	76.400000	279	0	0	103	0	0
TNPO3	76.400000	304	0	0	78	0	0
PURG	76.400000	279	0	0	103	0	0
ARSJ	76.400000	253	0	0	129	0	0
ZNF330	76.200000	281	0	0	100	0	0
WDR35	76.200000	280	0	0	101	0	0
VPS45	76.200000	261	0	0	120	0	0
MRPS18C	76.200000	285	0	0	96	0	0
HELQ	76.200000	285	0	0	96	0	0
EEF1A1	76.200000	278	0	0	103	0	0
ACYP2	76.200000	280	0	0	101	0	0
ZNF165	76.000000	242	0	0	0	138	0
RGL1	76.000000	263	0	0	117	0	0
POLB	76.000000	273	0	0	0	107	0
PIGC	76.000000	249	0	0	131	0	0
DDX60	76.000000	287	0	0	93	0	0
ATP5F1E	76.000000	275	0	0	105	0	0
TRIM13	75.800000	286	0	0	93	0	0
OBI1	75.600000	378	0	0	0	0	0
TRAK2	75.400000	265	0	0	112	0	0
STRADB	75.400000	265	0	0	112	0	0
XPC	75.200000	288	0	0	88	0	0
OTUD7B	75.200000	177	0	0	91	108	0
N6AMT1	75.200000	291	0	0	85	0	0
LSM3	75.200000	288	0	0	88	0	0
FILIP1L	75.200000	376	0	0	0	0	0
RNF141	75.000000	271	0	0	104	0	0
MINPP1	75.000000	294	0	0	81	0	0
MRPS14	74.800000	231	0	0	143	0	0
MRPL58	74.800000	126	0	0	101	147	0
FANCF	74.800000	159	0	0	89	126	0
PEX7	74.600000	275	0	0	98	0	0
CCDC14	74.600000	287	0	0	0	86	0
ZNF322	74.400000	306	0	0	66	0	0
WASHC4	74.400000	278	0	0	94	0	0
TMF1	74.400000	243	0	0	129	0	0
SPEF2	74.400000	200	0	0	81	91	0
KCNH1	74.400000	138	0	0	102	132	0
HIF1A	74.400000	229	0	0	143	0	0
FH	74.400000	156	0	0	112	104	0
UBA6	74.200000	221	0	0	150	0	0
DSTYK	74.200000	283	0	0	88	0	0
TFB1M	74.000000	227	0	0	143	0	0
NUDT4B	74.000000	282	0	0	88	0	0
HSF2	74.000000	262	0	0	108	0	0
PDLIM5	73.800000	287	0	0	82	0	0
DDX17	73.800000	170	0	0	199	0	0
CEP83	73.800000	369	0	0	0	0	0
SMG7	73.600000	153	0	0	98	117	0
POLR2M	73.600000	261	0	0	107	0	0
MRPL1	73.600000	208	0	0	160	0	0
CEP97	73.600000	204	0	0	164	0	0
ZFYVE1	73.400000	298	0	0	69	0	0
KITLG	73.400000	224	0	0	143	0	0
ANKRD18B	73.400000	252	0	0	115	0	0
ZNF549	73.200000	278	0	0	88	0	0
KLHL7	73.200000	226	0	0	140	0	0
KAT7	73.200000	229	0	0	137	0	0
INTS6	73.200000	234	0	0	132	0	0
FUT8	73.200000	274	0	0	92	0	0
WDR77	73.000000	266	0	0	99	0	0
NDUFB3	73.000000	206	0	0	159	0	0
MCL1	73.000000	272	0	0	93	0	0
HIKESHI	73.000000	291	0	0	74	0	0
FAM174A	73.000000	225	0	0	140	0	0
FAM126B	73.000000	206	0	0	159	0	0
COQ3	73.000000	203	0	0	162	0	0
ATP5PB	73.000000	266	0	0	99	0	0
TAF7	72.800000	232	0	0	132	0	0
RBM26	72.800000	254	0	0	110	0	0
CSRNP2	72.800000	238	0	0	126	0	0
CCDC146	72.800000	242	0	0	122	0	0
ADAMTSL1	72.800000	364	0	0	0	0	0
SNRPD1	72.600000	238	0	0	0	125	0
PTBP3	72.600000	257	0	0	106	0	0
GLO1	72.600000	243	0	0	120	0	0
CEP128	72.600000	226	0	0	137	0	0
CCN2	72.600000	256	0	0	0	107	0
ZBTB6	72.400000	224	0	0	138	0	0
TBC1D32	72.400000	253	0	0	109	0	0
STEAP1B	72.400000	278	0	0	84	0	0
NAP1L1	72.400000	276	0	0	0	86	0
IQCH	72.400000	199	0	0	163	0	0
ANKRD17	72.400000	204	0	0	95	63	0
AAGAB	72.400000	199	0	0	163	0	0
PSMD9	72.200000	251	0	0	110	0	0
POGLUT3	72.200000	241	0	0	120	0	0
PNRC2	72.200000	232	0	0	129	0	0
PCNP	72.200000	186	0	0	175	0	0
HPD	72.200000	251	0	0	110	0	0
TMTC3	72.000000	240	0	0	120	0	0
SF3A3	72.000000	169	0	0	84	107	0
DDX58	72.000000	246	0	0	114	0	0
COQ10B	72.000000	269	0	0	91	0	0
CEP290	72.000000	240	0	0	120	0	0
TRMT5	71.800000	359	0	0	0	0	0
SLC38A6	71.800000	359	0	0	0	0	0
PPP1R12B	71.800000	213	0	0	146	0	0
DDX50	71.800000	225	0	0	134	0	0
COPB1	71.800000	240	0	0	119	0	0
TTC26	71.600000	190	0	0	168	0	0
TMA16	71.600000	203	0	0	155	0	0
NDFIP1	71.600000	270	0	0	88	0	0
